position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,AUDJPY,BUY,2021-07-16 16:15:00+00:00,2021-07-16 21:33:40+00:00,81.824,81.474,-32.29,-32.29,3.50.181,DEMO_ACCOUNT,IS
4,AUDJPY,BUY,2021-07-22 16:15:00+00:00,2021-07-22 18:46:40+00:00,81.342,80.992,-32.28,-32.28,3.50.181,DEMO_ACCOUNT,IS
6,AUDJPY,BUY,2021-07-23 07:30:00+00:00,2021-07-23 13:49:40+00:00,81.336,81.542,18.15,18.15,3.50.181,DEMO_ACCOUNT,IS
8,AUDJPY,BUY,2021-07-27 03:30:00+00:00,2021-07-27 09:35:40+00:00,81.471,81.121,-32.27,-32.27,3.50.181,DEMO_ACCOUNT,IS
10,AUDJPY,BUY,2021-07-29 05:45:00+00:00,2021-07-29 23:45:00+00:00,81.071,80.923,-14.02,-14.02,3.50.181,DEMO_ACCOUNT,IS
12,AUDJPY,BUY,2021-08-03 07:45:00+00:00,2021-08-03 15:20:40+00:00,80.918,80.568,-32.58,-32.58,3.50.181,DEMO_ACCOUNT,IS
14,AUDJPY,BUY,2021-08-04 02:00:00+00:00,2021-08-04 10:20:40+00:00,80.686,80.866,16.0,16.0,3.50.181,DEMO_ACCOUNT,IS
16,AUDJPY,BUY,2021-08-05 16:30:00+00:00,2021-08-05 23:45:00+00:00,81.262,81.244,-2.14,-2.14,3.50.181,DEMO_ACCOUNT,IS
18,AUDJPY,BUY,2021-08-06 03:15:00+00:00,2021-08-06 18:17:40+00:00,81.417,81.067,-32.23,-32.23,3.50.181,DEMO_ACCOUNT,IS
20,AUDJPY,BUY,2021-08-11 15:45:00+00:00,2021-08-11 23:45:00+00:00,81.561,81.426,-12.72,-12.72,3.50.181,DEMO_ACCOUNT,IS
22,AUDJPY,BUY,2021-08-24 13:15:00+00:00,2021-08-24 17:50:40+00:00,79.41,79.68,24.13,24.13,3.50.181,DEMO_ACCOUNT,IS
