position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURGBP,BUY,2021-07-05 02:00:00+00:00,2021-07-05 03:19:40+00:00,0.85735,0.85768,4.06,4.06,2.36.141,DEMO_ACCOUNT,IS
4,EURGBP,BUY,2021-07-06 02:00:00+00:00,2021-07-06 06:44:40+00:00,0.85677,0.85499,-25.23,-25.23,2.36.141,DEMO_ACCOUNT,IS
6,EURGBP,SELL,2021-07-07 12:00:00+00:00,2021-07-07 14:13:00+00:00,0.85808,0.85496,42.64,42.64,2.36.141,DEMO_ACCOUNT,IS
8,EURGBP,BUY,2021-07-08 02:00:00+00:00,2021-07-08 03:58:40+00:00,0.85469,0.85501,3.91,3.91,2.36.141,DEMO_ACCOUNT,IS
10,EURGBP,SELL,2021-07-09 03:45:00+00:00,2021-07-09 20:58:40+00:00,0.85884,0.85577,42.11,42.11,2.36.141,DEMO_ACCOUNT,IS
12,EURGBP,BUY,2021-07-12 02:00:00+00:00,2021-07-12 10:33:40+00:00,0.85491,0.85527,4.5,4.5,2.36.141,DEMO_ACCOUNT,IS
14,EURGBP,BUY,2021-07-13 02:00:00+00:00,2021-07-13 11:25:40+00:00,0.85486,0.85518,3.94,3.94,2.36.141,DEMO_ACCOUNT,IS
16,EURGBP,BUY,2021-07-14 02:00:00+00:00,2021-07-14 11:36:40+00:00,0.85281,0.851,-25.59,-25.59,2.36.141,DEMO_ACCOUNT,IS
18,EURGBP,SELL,2021-07-15 11:00:00+00:00,2021-07-15 13:08:20+00:00,0.85661,0.85331,45.3,45.3,2.36.141,DEMO_ACCOUNT,IS
20,EURGBP,BUY,2021-07-16 02:00:00+00:00,2021-07-16 09:51:40+00:00,0.85469,0.85508,4.89,4.89,2.36.141,DEMO_ACCOUNT,IS
22,EURGBP,SELL,2021-07-19 02:15:30+00:00,2021-07-19 23:45:00+00:00,0.85816,0.86346,-72.97,-72.97,2.36.141,DEMO_ACCOUNT,IS
24,EURGBP,SELL,2021-07-20 07:30:00+00:00,2021-07-20 23:45:00+00:00,0.86275,0.86466,-26.52,-26.52,2.36.141,DEMO_ACCOUNT,IS
26,EURGBP,SELL,2021-07-21 07:45:00+00:00,2021-07-21 17:16:00+00:00,0.86453,0.86189,35.61,35.61,2.36.141,DEMO_ACCOUNT,IS
28,EURGBP,BUY,2021-07-22 02:00:00+00:00,2021-07-22 03:13:40+00:00,0.85986,0.86017,3.75,3.75,2.36.141,DEMO_ACCOUNT,IS
30,EURGBP,BUY,2021-07-23 02:00:00+00:00,2021-07-23 09:27:40+00:00,0.85552,0.85591,4.87,4.87,2.36.141,DEMO_ACCOUNT,IS
32,EURGBP,BUY,2021-07-26 05:30:00+00:00,2021-07-26 09:10:20+00:00,0.85665,0.85699,4.17,4.17,2.36.141,DEMO_ACCOUNT,IS
34,EURGBP,BUY,2021-07-27 02:00:00+00:00,2021-07-27 03:34:40+00:00,0.85386,0.85421,4.34,4.34,2.36.141,DEMO_ACCOUNT,IS
36,EURGBP,BUY,2021-07-28 02:00:00+00:00,2021-07-28 05:04:20+00:00,0.85138,0.85173,4.36,4.36,2.36.141,DEMO_ACCOUNT,IS
38,EURGBP,BUY,2021-07-29 13:00:00+00:00,2021-07-29 23:45:00+00:00,0.85163,0.85127,-5.53,-5.53,2.36.141,DEMO_ACCOUNT,IS
40,EURGBP,SELL,2021-08-02 02:00:00+00:00,2021-08-02 23:45:00+00:00,0.85375,0.85496,-17.3,-17.3,2.36.141,DEMO_ACCOUNT,IS
42,EURGBP,SELL,2021-08-03 02:15:00+00:00,2021-08-03 23:45:00+00:00,0.85482,0.85309,23.57,23.57,2.36.141,DEMO_ACCOUNT,IS
44,EURGBP,BUY,2021-08-04 02:00:00+00:00,2021-08-04 09:48:40+00:00,0.85337,0.85177,-22.8,-22.8,2.36.141,DEMO_ACCOUNT,IS
46,EURGBP,BUY,2021-08-05 11:45:00+00:00,2021-08-05 14:00:40+00:00,0.85123,0.85162,4.93,4.93,2.36.141,DEMO_ACCOUNT,IS
48,EURGBP,BUY,2021-08-06 02:00:00+00:00,2021-08-06 12:11:40+00:00,0.84993,0.84805,-26.69,-26.69,2.36.141,DEMO_ACCOUNT,IS
50,EURGBP,BUY,2021-08-09 02:00:00+00:00,2021-08-09 11:09:40+00:00,0.84809,0.84844,4.35,4.35,2.36.141,DEMO_ACCOUNT,IS
52,EURGBP,BUY,2021-08-10 12:30:00+00:00,2021-08-10 19:07:40+00:00,0.8467,0.84708,4.76,4.76,2.36.141,DEMO_ACCOUNT,IS
54,EURGBP,BUY,2021-08-12 02:00:00+00:00,2021-08-12 09:55:40+00:00,0.84664,0.84696,3.94,3.94,2.36.141,DEMO_ACCOUNT,IS
56,EURGBP,SELL,2021-08-13 11:30:00+00:00,2021-08-13 23:45:00+00:00,0.8507,0.85067,-0.08,-0.08,2.36.141,DEMO_ACCOUNT,IS
58,EURGBP,SELL,2021-08-16 02:30:00+00:00,2021-08-16 23:45:00+00:00,0.85063,0.85138,-10.88,-10.88,2.36.141,DEMO_ACCOUNT,IS
60,EURGBP,SELL,2021-08-17 02:00:00+00:00,2021-08-17 23:45:00+00:00,0.85093,0.85239,-20.56,-20.56,2.36.141,DEMO_ACCOUNT,IS
62,EURGBP,SELL,2021-08-18 02:45:00+00:00,2021-08-18 23:45:00+00:00,0.85216,0.8512,12.71,12.71,2.36.141,DEMO_ACCOUNT,IS
64,EURGBP,BUY,2021-08-19 02:00:00+00:00,2021-08-19 09:53:40+00:00,0.85196,0.85232,4.43,4.43,2.36.141,DEMO_ACCOUNT,IS
66,EURGBP,SELL,2021-08-20 15:15:00+00:00,2021-08-20 23:45:00+00:00,0.8575,0.85937,-25.98,-25.98,2.36.141,DEMO_ACCOUNT,IS
68,EURGBP,SELL,2021-08-23 07:00:00+00:00,2021-08-23 17:58:00+00:00,0.85872,0.85592,37.91,37.91,2.36.141,DEMO_ACCOUNT,IS
70,EURGBP,BUY,2021-08-24 02:00:00+00:00,2021-08-24 08:43:40+00:00,0.85623,0.85448,-24.56,-24.56,2.36.141,DEMO_ACCOUNT,IS
72,EURGBP,SELL,2021-08-25 03:00:00+00:00,2021-08-25 23:45:00+00:00,0.85633,0.85577,7.21,7.21,2.36.141,DEMO_ACCOUNT,IS
74,EURGBP,BUY,2021-08-26 02:00:00+00:00,2021-08-26 09:06:40+00:00,0.85532,0.85563,3.76,3.76,2.36.141,DEMO_ACCOUNT,IS
76,EURGBP,SELL,2021-08-27 04:00:00+00:00,2021-08-27 23:45:00+00:00,0.85842,0.85733,14.5,14.5,2.36.141,DEMO_ACCOUNT,IS
78,EURGBP,BUY,2021-08-30 02:00:00+00:00,2021-08-30 12:58:40+00:00,0.85759,0.85798,4.87,4.87,2.36.141,DEMO_ACCOUNT,IS
80,EURGBP,SELL,2021-08-31 02:00:00+00:00,2021-08-31 23:45:00+00:00,0.85747,0.85862,-16.32,-16.32,2.36.141,DEMO_ACCOUNT,IS
82,EURGBP,SELL,2021-09-01 02:00:00+00:00,2021-09-01 23:45:00+00:00,0.85862,0.85986,-17.57,-17.57,2.36.141,DEMO_ACCOUNT,IS
84,EURGBP,SELL,2021-09-02 03:00:00+00:00,2021-09-02 18:31:00+00:00,0.85981,0.85791,25.77,25.77,2.36.141,DEMO_ACCOUNT,IS
86,EURGBP,BUY,2021-09-03 02:00:00+00:00,2021-09-03 04:43:40+00:00,0.85817,0.85844,3.24,3.24,2.36.141,DEMO_ACCOUNT,IS
88,EURGBP,BUY,2021-09-06 02:00:00+00:00,2021-09-06 02:24:59+00:00,0.85705,0.85738,4.08,4.08,2.36.141,DEMO_ACCOUNT,IS
