position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURGBP,SELL,2021-07-06 17:15:00+00:00,2021-07-06 23:45:00+00:00,0.85627,0.85674,-6.99,-6.99,5.2.127,DEMO_ACCOUNT,IS
4,EURGBP,SELL,2021-07-08 17:15:00+00:00,2021-07-08 23:45:00+00:00,0.8606,0.85939,16.19,16.19,5.2.127,DEMO_ACCOUNT,IS
6,EURGBP,SELL,2021-07-14 18:15:00+00:00,2021-07-14 23:45:00+00:00,0.85257,0.85398,-20.05,-20.05,5.2.127,DEMO_ACCOUNT,IS
8,EURGBP,SELL,2021-07-15 01:45:00+00:00,2021-07-15 10:56:40+00:00,0.85408,0.85658,-35.06,-35.06,5.2.127,DEMO_ACCOUNT,IS
10,EURGBP,SELL,2021-07-19 21:00:00+00:00,2021-07-19 23:45:00+00:00,0.86292,0.86346,-7.88,-7.88,5.2.127,DEMO_ACCOUNT,IS
12,EURGBP,SELL,2021-07-21 05:30:00+00:00,2021-07-21 20:05:40+00:00,0.86495,0.86095,54.32,54.32,5.2.127,DEMO_ACCOUNT,IS
14,EURGBP,SELL,2021-07-22 04:15:00+00:00,2021-07-22 13:48:00+00:00,0.86075,0.85675,54.56,54.56,5.2.127,DEMO_ACCOUNT,IS
16,EURGBP,SELL,2021-07-23 05:30:00+00:00,2021-07-23 11:20:40+00:00,0.85565,0.85815,-34.85,-34.85,5.2.127,DEMO_ACCOUNT,IS
18,EURGBP,SELL,2021-07-28 06:45:00+00:00,2021-07-28 23:45:00+00:00,0.85203,0.85239,-5.51,-5.51,5.2.127,DEMO_ACCOUNT,IS
20,EURGBP,SELL,2021-07-29 02:30:00+00:00,2021-07-29 23:45:00+00:00,0.85184,0.85132,6.76,6.76,5.2.127,DEMO_ACCOUNT,IS
22,EURGBP,SELL,2021-07-30 21:00:00+00:00,2021-07-30 23:45:00+00:00,0.85357,0.85403,-6.9,-6.9,5.2.127,DEMO_ACCOUNT,IS
24,EURGBP,SELL,2021-08-02 01:30:00+00:00,2021-08-02 23:45:00+00:00,0.85389,0.85496,-15.36,-15.36,5.2.127,DEMO_ACCOUNT,IS
26,EURGBP,SELL,2021-08-04 15:45:00+00:00,2021-08-04 23:45:00+00:00,0.85263,0.85224,4.92,4.92,5.2.127,DEMO_ACCOUNT,IS
28,EURGBP,SELL,2021-08-09 05:00:00+00:00,2021-08-09 23:45:00+00:00,0.84817,0.8475,8.78,8.78,5.2.127,DEMO_ACCOUNT,IS
30,EURGBP,SELL,2021-08-10 05:15:00+00:00,2021-08-10 23:45:00+00:00,0.84787,0.84685,13.61,13.61,5.2.127,DEMO_ACCOUNT,IS
32,EURGBP,SELL,2021-08-11 03:45:00+00:00,2021-08-11 23:45:00+00:00,0.84743,0.8473,1.3,1.3,5.2.127,DEMO_ACCOUNT,IS
34,EURGBP,SELL,2021-08-13 04:15:00+00:00,2021-08-13 23:45:00+00:00,0.85008,0.85067,-8.68,-8.68,5.2.127,DEMO_ACCOUNT,IS
36,EURGBP,SELL,2021-08-16 03:15:00+00:00,2021-08-16 23:45:00+00:00,0.85095,0.85138,-6.45,-6.45,5.2.127,DEMO_ACCOUNT,IS
38,EURGBP,SELL,2021-08-19 17:30:00+00:00,2021-08-19 23:45:00+00:00,0.85526,0.85636,-15.5,-15.5,5.2.127,DEMO_ACCOUNT,IS
40,EURGBP,SELL,2021-08-20 01:15:00+00:00,2021-08-20 19:11:20+00:00,0.85644,0.85894,-34.55,-34.55,5.2.127,DEMO_ACCOUNT,IS
42,EURGBP,SELL,2021-08-23 06:00:00+00:00,2021-08-23 23:45:00+00:00,0.85881,0.85574,41.64,41.64,5.2.127,DEMO_ACCOUNT,IS
44,EURGBP,SELL,2021-08-24 15:45:00+00:00,2021-08-24 23:45:00+00:00,0.85652,0.85637,1.56,1.56,5.2.127,DEMO_ACCOUNT,IS
46,EURGBP,SELL,2021-08-26 18:45:00+00:00,2021-08-26 23:45:00+00:00,0.85747,0.85788,-6.12,-6.12,5.2.127,DEMO_ACCOUNT,IS
48,EURGBP,SELL,2021-08-27 03:15:00+00:00,2021-08-27 23:45:00+00:00,0.85823,0.85733,11.88,11.88,5.2.127,DEMO_ACCOUNT,IS
50,EURGBP,SELL,2021-08-30 00:05:00+00:00,2021-08-30 23:45:00+00:00,0.8566,0.85763,-14.67,-14.67,5.2.127,DEMO_ACCOUNT,IS
52,EURGBP,SELL,2021-09-10 17:15:00+00:00,2021-09-10 23:45:00+00:00,0.85391,0.85448,-8.38,-8.38,5.2.127,DEMO_ACCOUNT,IS
54,EURGBP,SELL,2021-09-13 17:15:00+00:00,2021-09-13 23:45:00+00:00,0.85315,0.85338,-3.68,-3.68,5.2.127,DEMO_ACCOUNT,IS
56,EURGBP,SELL,2021-09-16 16:45:00+00:00,2021-09-16 17:54:40+00:00,0.85271,0.85521,-34.92,-34.92,5.2.127,DEMO_ACCOUNT,IS
58,EURGBP,SELL,2021-09-28 22:30:00+00:00,2021-09-28 23:45:00+00:00,0.86303,0.86372,-9.84,-9.84,5.2.127,DEMO_ACCOUNT,IS
60,EURGBP,SELL,2021-09-29 15:15:00+00:00,2021-09-29 23:45:00+00:00,0.8643,0.86418,1.11,1.11,5.2.127,DEMO_ACCOUNT,IS
62,EURGBP,SELL,2021-10-01 04:30:00+00:00,2021-10-01 16:19:40+00:00,0.86005,0.85605,53.71,53.71,5.2.127,DEMO_ACCOUNT,IS
64,EURGBP,SELL,2021-10-04 04:30:00+00:00,2021-10-04 23:45:00+00:00,0.85619,0.85385,31.34,31.34,5.2.127,DEMO_ACCOUNT,IS
66,EURGBP,SELL,2021-10-05 04:15:00+00:00,2021-10-05 17:43:20+00:00,0.85444,0.85044,54.01,54.01,5.2.127,DEMO_ACCOUNT,IS
68,EURGBP,SELL,2021-10-06 05:45:00+00:00,2021-10-06 23:45:00+00:00,0.85145,0.85048,12.68,12.68,5.2.127,DEMO_ACCOUNT,IS
70,EURGBP,SELL,2021-10-12 04:30:00+00:00,2021-10-12 23:45:00+00:00,0.85021,0.8485,22.74,22.74,5.2.127,DEMO_ACCOUNT,IS
72,EURGBP,SELL,2021-10-14 22:00:00+00:00,2021-10-14 23:45:00+00:00,0.84747,0.84817,-10.07,-10.07,5.2.127,DEMO_ACCOUNT,IS
74,EURGBP,SELL,2021-10-15 22:15:00+00:00,2021-10-15 23:45:00+00:00,0.84431,0.84416,1.56,1.56,5.2.127,DEMO_ACCOUNT,IS
