position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURUSD,BUY,2021-07-12 09:45:00+00:00,2021-07-12 12:54:40+00:00,1.18644,1.18535,-11.4,-11.4,6.46.178,DEMO_ACCOUNT,IS
4,EURUSD,BUY,2021-07-13 09:00:00+00:00,2021-07-13 10:50:40+00:00,1.1862,1.18511,-11.4,-11.4,6.46.178,DEMO_ACCOUNT,IS
6,EURUSD,BUY,2021-07-15 14:00:00+00:00,2021-07-15 15:56:40+00:00,1.18227,1.18058,-17.4,-17.4,6.46.178,DEMO_ACCOUNT,IS
8,EURUSD,BUY,2021-07-27 09:15:00+00:00,2021-07-27 09:53:40+00:00,1.17989,1.17894,-10.0,-10.0,6.46.178,DEMO_ACCOUNT,IS
10,EURUSD,BUY,2021-07-28 09:45:00+00:00,2021-07-28 09:48:40+00:00,1.18162,1.18053,-11.4,-11.4,6.46.178,DEMO_ACCOUNT,IS
12,EURUSD,BUY,2021-07-30 04:30:00+00:00,2021-07-30 11:47:40+00:00,1.18849,1.19005,15.1,15.1,6.46.178,DEMO_ACCOUNT,IS
14,EURUSD,BUY,2021-08-02 19:30:00+00:00,2021-08-02 23:45:00+00:00,1.18738,1.18718,-2.5,-2.5,6.46.178,DEMO_ACCOUNT,IS
16,EURUSD,BUY,2021-08-16 06:45:00+00:00,2021-08-16 09:38:40+00:00,1.17954,1.17864,-9.5,-9.5,6.46.178,DEMO_ACCOUNT,IS
18,EURUSD,BUY,2021-08-17 04:45:00+00:00,2021-08-17 05:34:40+00:00,1.17775,1.17694,-8.6,-8.6,6.46.178,DEMO_ACCOUNT,IS
20,EURUSD,BUY,2021-08-24 11:30:00+00:00,2021-08-24 17:03:40+00:00,1.1738,1.17566,18.1,18.1,6.46.178,DEMO_ACCOUNT,IS
22,EURUSD,BUY,2021-08-25 03:45:00+00:00,2021-08-25 04:51:40+00:00,1.17477,1.17371,-11.1,-11.1,6.46.178,DEMO_ACCOUNT,IS
24,EURUSD,BUY,2021-08-26 09:45:00+00:00,2021-08-26 15:52:40+00:00,1.17654,1.1756,-9.9,-9.9,6.46.178,DEMO_ACCOUNT,IS
26,EURUSD,BUY,2021-08-27 03:30:00+00:00,2021-08-27 03:39:40+00:00,1.1753,1.17432,-10.3,-10.3,6.46.178,DEMO_ACCOUNT,IS
28,EURUSD,BUY,2021-08-30 09:45:00+00:00,2021-08-30 14:18:40+00:00,1.18019,1.17917,-10.7,-10.7,6.46.178,DEMO_ACCOUNT,IS
30,EURUSD,BUY,2021-08-31 18:00:00+00:00,2021-08-31 23:45:00+00:00,1.18089,1.18084,-1.0,-1.0,6.46.178,DEMO_ACCOUNT,IS
32,EURUSD,BUY,2021-09-01 03:30:00+00:00,2021-09-01 04:14:40+00:00,1.18116,1.1801,-11.1,-11.1,6.46.178,DEMO_ACCOUNT,IS
34,EURUSD,BUY,2021-09-03 10:45:00+00:00,2021-09-03 12:02:40+00:00,1.18794,1.18705,-9.4,-9.4,6.46.178,DEMO_ACCOUNT,IS
36,EURUSD,BUY,2021-09-06 06:30:00+00:00,2021-09-06 10:26:40+00:00,1.18742,1.18639,-10.8,-10.8,6.46.178,DEMO_ACCOUNT,IS
38,EURUSD,BUY,2021-09-07 09:00:00+00:00,2021-09-07 09:26:20+00:00,1.1877,1.18695,-8.0,-8.0,6.46.178,DEMO_ACCOUNT,IS
40,EURUSD,BUY,2021-09-08 08:45:00+00:00,2021-09-08 09:06:40+00:00,1.18415,1.18329,-9.1,-9.1,6.46.178,DEMO_ACCOUNT,IS
42,EURUSD,BUY,2021-10-14 08:30:00+00:00,2021-10-14 10:00:20+00:00,1.1588,1.16024,13.9,13.9,6.46.178,DEMO_ACCOUNT,IS
44,EURUSD,BUY,2021-10-15 12:45:00+00:00,2021-10-15 23:45:00+00:00,1.15996,1.15986,-1.5,-1.5,6.46.178,DEMO_ACCOUNT,IS
46,EURUSD,BUY,2021-10-18 03:15:00+00:00,2021-10-18 06:43:40+00:00,1.15946,1.15819,-13.2,-13.2,6.46.178,DEMO_ACCOUNT,IS
48,EURUSD,BUY,2021-10-19 17:45:00+00:00,2021-10-19 23:45:00+00:00,1.16338,1.1632,-2.3,-2.3,6.46.178,DEMO_ACCOUNT,IS
50,EURUSD,BUY,2021-10-20 10:15:00+00:00,2021-10-20 10:38:40+00:00,1.16293,1.16172,-12.6,-12.6,6.46.178,DEMO_ACCOUNT,IS
52,EURUSD,BUY,2021-10-21 10:15:00+00:00,2021-10-21 20:52:20+00:00,1.16393,1.16275,-12.3,-12.3,6.46.178,DEMO_ACCOUNT,IS
54,EURUSD,BUY,2021-10-25 12:30:00+00:00,2021-10-25 14:36:40+00:00,1.16309,1.16134,-18.0,-18.0,6.46.178,DEMO_ACCOUNT,IS
56,EURUSD,BUY,2021-10-29 08:00:00+00:00,2021-10-29 11:35:40+00:00,1.16645,1.16525,-12.5,-12.5,6.46.178,DEMO_ACCOUNT,IS
58,EURUSD,BUY,2021-11-09 14:00:00+00:00,2021-11-09 16:46:40+00:00,1.15801,1.16064,25.8,25.8,6.46.178,DEMO_ACCOUNT,IS
60,EURUSD,BUY,2021-11-10 04:15:00+00:00,2021-11-10 09:02:40+00:00,1.15876,1.15761,-12.0,-12.0,6.46.178,DEMO_ACCOUNT,IS
62,EURUSD,BUY,2021-12-01 15:00:00+00:00,2021-12-01 16:46:40+00:00,1.1314,1.13541,39.6,39.6,6.46.178,DEMO_ACCOUNT,IS
64,EURUSD,BUY,2021-12-02 09:45:00+00:00,2021-12-02 12:15:40+00:00,1.13105,1.13316,20.6,20.6,6.46.178,DEMO_ACCOUNT,IS
