position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURUSD,SELL,2021-07-05 02:02:40+00:00,2021-07-05 23:45:00+00:00,1.18607,1.18629,-2.7,-2.7,2.34.129,DEMO_ACCOUNT,IS
4,EURUSD,SELL,2021-07-06 03:10:40+00:00,2021-07-06 08:56:40+00:00,1.18659,1.18851,-19.7,-19.7,2.34.129,DEMO_ACCOUNT,IS
6,EURUSD,SELL,2021-07-07 03:04:20+00:00,2021-07-07 16:42:40+00:00,1.18228,1.1806,16.3,16.3,2.34.129,DEMO_ACCOUNT,IS
8,EURUSD,SELL,2021-07-09 01:00:40+00:00,2021-07-09 17:50:40+00:00,1.18465,1.18781,-32.1,-32.1,2.34.129,DEMO_ACCOUNT,IS
10,EURUSD,SELL,2021-07-13 02:32:40+00:00,2021-07-13 11:05:40+00:00,1.18608,1.18474,12.9,12.9,2.34.129,DEMO_ACCOUNT,IS
12,EURUSD,SELL,2021-07-14 05:20:20+00:00,2021-07-14 14:03:40+00:00,1.17806,1.18069,-26.8,-26.8,2.34.129,DEMO_ACCOUNT,IS
14,EURUSD,SELL,2021-07-15 08:01:40+00:00,2021-07-15 11:37:40+00:00,1.18322,1.18526,-20.9,-20.9,2.34.129,DEMO_ACCOUNT,IS
16,EURUSD,SELL,2021-07-16 06:56:40+00:00,2021-07-16 14:54:20+00:00,1.18113,1.17979,12.9,12.9,2.34.129,DEMO_ACCOUNT,IS
18,EURUSD,SELL,2021-07-19 01:57:30+00:00,2021-07-19 10:07:40+00:00,1.18098,1.17941,15.2,15.2,2.34.129,DEMO_ACCOUNT,IS
20,EURUSD,SELL,2021-07-21 02:53:40+00:00,2021-07-21 10:06:40+00:00,1.17804,1.17646,15.3,15.3,2.34.129,DEMO_ACCOUNT,IS
22,EURUSD,SELL,2021-07-22 06:29:40+00:00,2021-07-22 15:03:40+00:00,1.17959,1.17819,13.5,13.5,2.34.129,DEMO_ACCOUNT,IS
24,EURUSD,SELL,2021-07-23 02:13:40+00:00,2021-07-23 23:45:00+00:00,1.17735,1.17749,-1.9,-1.9,2.34.129,DEMO_ACCOUNT,IS
26,EURUSD,SELL,2021-07-26 01:00:40+00:00,2021-07-26 10:24:40+00:00,1.17715,1.17968,-25.8,-25.8,2.34.129,DEMO_ACCOUNT,IS
28,EURUSD,SELL,2021-07-27 04:30:40+00:00,2021-07-27 09:58:40+00:00,1.18065,1.17934,12.6,12.6,2.34.129,DEMO_ACCOUNT,IS
30,EURUSD,SELL,2021-07-28 04:41:40+00:00,2021-07-28 11:16:40+00:00,1.18225,1.18084,13.6,13.6,2.34.129,DEMO_ACCOUNT,IS
32,EURUSD,SELL,2021-07-29 10:00:40+00:00,2021-07-29 11:38:40+00:00,1.18532,1.18806,-27.9,-27.9,2.34.129,DEMO_ACCOUNT,IS
34,EURUSD,SELL,2021-08-02 02:37:40+00:00,2021-08-02 10:03:40+00:00,1.18639,1.18904,-27.0,-27.0,2.34.129,DEMO_ACCOUNT,IS
