position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,GBPJPY,BUY,2021-07-05 11:30:00+00:00,2021-07-05 23:45:00+00:00,153.742,153.628,-10.77,-10.77,5.35.116,DEMO_ACCOUNT,IS
4,GBPJPY,BUY,2021-07-06 03:45:00+00:00,2021-07-06 06:13:40+00:00,153.583,153.912,29.18,29.18,5.35.116,DEMO_ACCOUNT,IS
6,GBPJPY,BUY,2021-07-08 03:15:00+00:00,2021-07-08 10:03:40+00:00,152.599,151.649,-86.72,-86.72,5.35.116,DEMO_ACCOUNT,IS
8,GBPJPY,BUY,2021-07-13 11:00:00+00:00,2021-07-13 23:45:00+00:00,153.161,152.837,-29.78,-29.78,5.35.116,DEMO_ACCOUNT,IS
10,GBPJPY,BUY,2021-07-15 14:00:00+00:00,2021-07-15 20:43:40+00:00,152.706,151.756,-86.93,-86.93,5.35.116,DEMO_ACCOUNT,IS
12,GBPJPY,BUY,2021-07-16 14:45:00+00:00,2021-07-16 23:14:40+00:00,152.382,151.432,-86.83,-86.83,5.35.116,DEMO_ACCOUNT,IS
14,GBPJPY,BUY,2021-07-21 05:30:00+00:00,2021-07-21 11:24:40+00:00,149.534,150.01,42.72,42.72,5.35.116,DEMO_ACCOUNT,IS
16,GBPJPY,BUY,2021-07-26 09:30:00+00:00,2021-07-26 12:15:40+00:00,151.641,152.044,36.04,36.04,5.35.116,DEMO_ACCOUNT,IS
18,GBPJPY,BUY,2021-07-27 10:45:00+00:00,2021-07-27 17:55:40+00:00,151.761,152.294,48.0,48.0,5.35.116,DEMO_ACCOUNT,IS
20,GBPJPY,BUY,2021-07-28 05:00:00+00:00,2021-07-28 21:40:40+00:00,152.511,152.93,37.56,37.56,5.35.116,DEMO_ACCOUNT,IS
22,GBPJPY,BUY,2021-07-30 03:15:00+00:00,2021-07-30 23:45:00+00:00,152.91,152.539,-34.32,-34.32,5.35.116,DEMO_ACCOUNT,IS
24,GBPJPY,BUY,2021-08-04 02:00:00+00:00,2021-08-04 09:31:40+00:00,151.715,151.992,24.89,24.89,5.35.116,DEMO_ACCOUNT,IS
26,GBPJPY,BUY,2021-08-09 02:15:00+00:00,2021-08-09 23:45:00+00:00,152.85,152.81,-4.12,-4.12,5.35.116,DEMO_ACCOUNT,IS
28,GBPJPY,BUY,2021-08-11 17:30:00+00:00,2021-08-11 23:45:00+00:00,153.25,153.122,-12.09,-12.09,5.35.116,DEMO_ACCOUNT,IS
30,GBPJPY,BUY,2021-08-12 12:15:00+00:00,2021-08-12 23:45:00+00:00,153.04,152.466,-52.48,-52.48,5.35.116,DEMO_ACCOUNT,IS
32,GBPJPY,BUY,2021-08-18 15:30:00+00:00,2021-08-18 23:45:00+00:00,151.201,150.998,-18.99,-18.99,5.35.116,DEMO_ACCOUNT,IS
34,GBPJPY,BUY,2021-08-19 10:30:00+00:00,2021-08-19 12:01:40+00:00,150.737,149.787,-87.2,-87.2,5.35.116,DEMO_ACCOUNT,IS
36,GBPJPY,BUY,2021-08-25 14:30:00+00:00,2021-08-25 20:43:40+00:00,150.902,151.35,40.19,40.19,5.35.116,DEMO_ACCOUNT,IS
38,GBPJPY,BUY,2021-08-27 15:45:00+00:00,2021-08-27 23:45:00+00:00,151.271,151.139,-12.52,-12.52,5.35.116,DEMO_ACCOUNT,IS
40,GBPJPY,BUY,2021-08-31 17:30:00+00:00,2021-08-31 23:45:00+00:00,151.385,151.282,-9.86,-9.86,5.35.116,DEMO_ACCOUNT,IS
42,GBPJPY,BUY,2021-09-02 16:30:00+00:00,2021-09-02 23:45:00+00:00,151.86,152.102,21.51,21.51,5.35.116,DEMO_ACCOUNT,IS
44,GBPJPY,BUY,2021-09-06 02:00:00+00:00,2021-09-06 23:45:00+00:00,152.152,151.963,-17.71,-17.71,5.35.116,DEMO_ACCOUNT,IS
46,GBPJPY,BUY,2021-09-07 06:00:00+00:00,2021-09-07 23:45:00+00:00,152.018,152.03,0.59,0.59,5.35.116,DEMO_ACCOUNT,IS
48,GBPJPY,BUY,2021-09-08 09:30:00+00:00,2021-09-08 23:45:00+00:00,152.095,151.867,-21.18,-21.18,5.35.116,DEMO_ACCOUNT,IS
50,GBPJPY,BUY,2021-09-10 04:30:00+00:00,2021-09-10 06:53:40+00:00,151.831,152.143,27.91,27.91,5.35.116,DEMO_ACCOUNT,IS
52,GBPJPY,BUY,2021-09-13 14:30:00+00:00,2021-09-13 23:45:00+00:00,152.144,152.242,8.41,8.41,5.35.116,DEMO_ACCOUNT,IS
54,GBPJPY,BUY,2021-09-14 17:45:00+00:00,2021-09-14 23:45:00+00:00,152.027,151.419,-55.93,-55.93,5.35.116,DEMO_ACCOUNT,IS
56,GBPJPY,BUY,2021-09-16 04:15:00+00:00,2021-09-16 23:45:00+00:00,151.41,151.365,-4.6,-4.6,5.35.116,DEMO_ACCOUNT,IS
