position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,NZDUSD,SELL,2021-07-06 01:15:00+00:00,2021-07-06 17:36:40+00:00,0.70363,0.69981,37.7,37.7,4.41.120,DEMO_ACCOUNT,IS
4,NZDUSD,SELL,2021-07-07 04:45:00+00:00,2021-07-07 05:35:00+00:00,0.7015,0.7019,-4.5,-4.5,4.41.120,DEMO_ACCOUNT,IS
6,NZDUSD,SELL,2021-07-09 08:45:00+00:00,2021-07-09 10:08:40+00:00,0.69454,0.69487,-3.8,-3.8,4.41.120,DEMO_ACCOUNT,IS
8,NZDUSD,SELL,2021-07-12 17:00:00+00:00,2021-07-12 20:46:00+00:00,0.698,0.69833,-3.8,-3.8,4.41.120,DEMO_ACCOUNT,IS
10,NZDUSD,SELL,2021-07-14 03:45:00+00:00,2021-07-14 23:45:00+00:00,0.69589,0.70372,-78.8,-78.8,4.41.120,DEMO_ACCOUNT,IS
12,NZDUSD,SELL,2021-07-16 01:45:00+00:00,2021-07-16 02:32:00+00:00,0.70152,0.70076,7.1,7.1,4.41.120,DEMO_ACCOUNT,IS
14,NZDUSD,SELL,2021-07-20 00:45:00+00:00,2021-07-20 02:02:00+00:00,0.69441,0.69411,2.5,2.5,4.41.120,DEMO_ACCOUNT,IS
16,NZDUSD,SELL,2021-07-22 09:30:00+00:00,2021-07-22 10:22:00+00:00,0.69637,0.69704,-7.2,-7.2,4.41.120,DEMO_ACCOUNT,IS
18,NZDUSD,SELL,2021-07-23 01:15:00+00:00,2021-07-23 01:31:00+00:00,0.69738,0.69812,-7.9,-7.9,4.41.120,DEMO_ACCOUNT,IS
20,NZDUSD,SELL,2021-07-27 16:15:00+00:00,2021-07-27 16:47:40+00:00,0.69686,0.69616,6.5,6.5,4.41.120,DEMO_ACCOUNT,IS
22,NZDUSD,SELL,2021-07-28 02:00:00+00:00,2021-07-28 02:47:00+00:00,0.69624,0.6969,-7.1,-7.1,4.41.120,DEMO_ACCOUNT,IS
24,NZDUSD,SELL,2021-07-30 01:15:00+00:00,2021-07-30 03:01:00+00:00,0.7013,0.70168,-4.3,-4.3,4.41.120,DEMO_ACCOUNT,IS
26,NZDUSD,SELL,2021-08-02 10:00:00+00:00,2021-08-02 14:54:00+00:00,0.69722,0.69782,-6.5,-6.5,4.41.120,DEMO_ACCOUNT,IS
28,NZDUSD,SELL,2021-08-09 05:15:00+00:00,2021-08-09 05:42:00+00:00,0.70174,0.70224,-5.5,-5.5,4.41.120,DEMO_ACCOUNT,IS
30,NZDUSD,SELL,2021-08-10 10:30:00+00:00,2021-08-10 10:46:00+00:00,0.69844,0.69871,-3.2,-3.2,4.41.120,DEMO_ACCOUNT,IS
32,NZDUSD,SELL,2021-08-11 05:45:00+00:00,2021-08-11 06:48:00+00:00,0.70093,0.70115,-2.7,-2.7,4.41.120,DEMO_ACCOUNT,IS
34,NZDUSD,SELL,2021-08-12 03:30:00+00:00,2021-08-12 03:49:00+00:00,0.70436,0.70461,-3.0,-3.0,4.41.120,DEMO_ACCOUNT,IS
36,NZDUSD,SELL,2021-08-13 02:15:00+00:00,2021-08-13 03:03:00+00:00,0.70048,0.70093,-5.0,-5.0,4.41.120,DEMO_ACCOUNT,IS
38,NZDUSD,SELL,2021-08-18 21:30:00+00:00,2021-08-18 21:49:40+00:00,0.69039,0.69049,-1.5,-1.5,4.41.120,DEMO_ACCOUNT,IS
40,NZDUSD,SELL,2021-08-19 15:45:00+00:00,2021-08-19 22:23:00+00:00,0.68406,0.68332,6.9,6.9,4.41.120,DEMO_ACCOUNT,IS
42,NZDUSD,SELL,2021-08-20 06:45:00+00:00,2021-08-20 08:33:00+00:00,0.68327,0.68327,-0.5,-0.5,4.41.120,DEMO_ACCOUNT,IS
44,NZDUSD,SELL,2021-08-24 05:45:00+00:00,2021-08-24 06:56:00+00:00,0.68958,0.68999,-4.6,-4.6,4.41.120,DEMO_ACCOUNT,IS
46,NZDUSD,SELL,2021-08-25 08:15:00+00:00,2021-08-25 08:44:00+00:00,0.69463,0.69513,-5.5,-5.5,4.41.120,DEMO_ACCOUNT,IS
48,NZDUSD,SELL,2021-08-26 14:15:00+00:00,2021-08-26 19:31:00+00:00,0.69633,0.69603,2.5,2.5,4.41.120,DEMO_ACCOUNT,IS
50,NZDUSD,SELL,2021-08-31 21:45:00+00:00,2021-08-31 22:38:00+00:00,0.70524,0.70533,-1.4,-1.4,4.41.120,DEMO_ACCOUNT,IS
52,NZDUSD,SELL,2021-09-01 02:30:00+00:00,2021-09-01 04:17:00+00:00,0.70491,0.70428,5.8,5.8,4.41.120,DEMO_ACCOUNT,IS
54,NZDUSD,SELL,2021-09-02 00:45:00+00:00,2021-09-02 01:09:00+00:00,0.70699,0.70747,-5.3,-5.3,4.41.120,DEMO_ACCOUNT,IS
56,NZDUSD,SELL,2021-09-03 04:00:00+00:00,2021-09-03 04:16:00+00:00,0.71158,0.71151,0.2,0.2,4.41.120,DEMO_ACCOUNT,IS
58,NZDUSD,SELL,2021-09-06 15:00:00+00:00,2021-09-06 15:40:00+00:00,0.71452,0.71441,0.6,0.6,4.41.120,DEMO_ACCOUNT,IS
60,NZDUSD,SELL,2021-09-08 03:30:00+00:00,2021-09-08 08:27:00+00:00,0.71052,0.71094,-4.7,-4.7,4.41.120,DEMO_ACCOUNT,IS
62,NZDUSD,SELL,2021-09-09 09:45:00+00:00,2021-09-09 23:45:00+00:00,0.70958,0.71159,-20.6,-20.6,4.41.120,DEMO_ACCOUNT,IS
64,NZDUSD,SELL,2021-09-17 07:30:00+00:00,2021-09-17 07:49:00+00:00,0.70755,0.70806,-5.6,-5.6,4.41.120,DEMO_ACCOUNT,IS
66,NZDUSD,SELL,2021-09-20 13:45:00+00:00,2021-09-20 15:01:00+00:00,0.70298,0.70159,13.4,13.4,4.41.120,DEMO_ACCOUNT,IS
68,NZDUSD,SELL,2021-09-21 06:45:00+00:00,2021-09-21 17:31:00+00:00,0.70206,0.70141,6.0,6.0,4.41.120,DEMO_ACCOUNT,IS
70,NZDUSD,SELL,2021-09-22 04:30:00+00:00,2021-09-22 05:01:00+00:00,0.7028,0.70291,-1.6,-1.6,4.41.120,DEMO_ACCOUNT,IS
72,NZDUSD,SELL,2021-09-24 03:45:00+00:00,2021-09-24 04:16:00+00:00,0.70744,0.70797,-5.8,-5.8,4.41.120,DEMO_ACCOUNT,IS
74,NZDUSD,SELL,2021-09-27 02:30:00+00:00,2021-09-27 09:35:40+00:00,0.70135,0.70174,-4.4,-4.4,4.41.120,DEMO_ACCOUNT,IS
76,NZDUSD,SELL,2021-09-29 09:15:00+00:00,2021-09-29 10:27:40+00:00,0.69533,0.69524,0.4,0.4,4.41.120,DEMO_ACCOUNT,IS
78,NZDUSD,SELL,2021-09-30 03:30:00+00:00,2021-09-30 04:02:00+00:00,0.68746,0.68807,-6.6,-6.6,4.41.120,DEMO_ACCOUNT,IS
80,NZDUSD,SELL,2021-10-04 01:30:00+00:00,2021-10-04 03:12:40+00:00,0.69503,0.69477,2.1,2.1,4.41.120,DEMO_ACCOUNT,IS
82,NZDUSD,SELL,2021-10-05 01:45:00+00:00,2021-10-05 04:21:40+00:00,0.69663,0.69426,23.2,23.2,4.41.120,DEMO_ACCOUNT,IS
84,NZDUSD,SELL,2021-10-15 14:15:00+00:00,2021-10-15 15:05:20+00:00,0.70566,0.70571,-1.0,-1.0,4.41.120,DEMO_ACCOUNT,IS
86,NZDUSD,SELL,2021-10-18 06:00:00+00:00,2021-10-18 10:00:20+00:00,0.70846,0.70652,18.9,18.9,4.41.120,DEMO_ACCOUNT,IS
