position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,US500.cash,BUY,2021-07-08 10:00:00+00:00,2021-07-08 11:00:40+00:00,4337.37,4314.23,-2.31,-2.31,3.8.114,DEMO_ACCOUNT,IS
4,US500.cash,BUY,2021-07-15 14:00:00+00:00,2021-07-16 02:00:00+00:00,4363.92,4357.15,-0.81,-0.81,3.8.114,DEMO_ACCOUNT,IS
6,US500.cash,BUY,2021-07-29 05:00:00+00:00,2021-07-30 02:00:00+00:00,4390.57,4404.63,1.28,1.28,3.8.114,DEMO_ACCOUNT,IS
8,US500.cash,BUY,2021-08-04 18:00:00+00:00,2021-08-05 02:00:00+00:00,4406.92,4406.7,-0.15,-0.15,3.8.114,DEMO_ACCOUNT,IS
10,US500.cash,BUY,2021-08-16 05:00:00+00:00,2021-08-16 16:00:40+00:00,4458.02,4443.81,-1.42,-1.42,3.8.114,DEMO_ACCOUNT,IS
12,US500.cash,BUY,2021-08-26 18:00:00+00:00,2021-08-27 02:00:00+00:00,4477.02,4474.65,-0.37,-0.37,3.8.114,DEMO_ACCOUNT,IS
14,US500.cash,BUY,2021-09-02 04:00:00+00:00,2021-09-03 02:00:00+00:00,4521.72,4541.1,1.81,1.81,3.8.114,DEMO_ACCOUNT,IS
16,US500.cash,BUY,2021-09-03 17:00:00+00:00,2021-09-06 02:00:00+00:00,4532.37,4535.1,-0.13,-0.13,3.8.114,DEMO_ACCOUNT,IS
18,US500.cash,BUY,2021-09-24 10:00:00+00:00,2021-09-24 11:15:40+00:00,4442.87,4430.29,-1.26,-1.26,3.8.114,DEMO_ACCOUNT,IS
20,US500.cash,BUY,2021-09-27 11:00:00+00:00,2021-09-27 13:00:40+00:00,4469.37,4458.79,-1.06,-1.06,3.8.114,DEMO_ACCOUNT,IS
22,US500.cash,BUY,2021-10-07 21:45:00+00:00,2021-10-07 23:45:00+00:00,4410.89,4405.0,-0.59,-0.59,3.8.114,DEMO_ACCOUNT,IS
24,US500.cash,BUY,2021-10-08 12:00:00+00:00,2021-10-08 15:39:40+00:00,4395.54,4418.49,2.3,2.3,3.8.114,DEMO_ACCOUNT,IS
26,US500.cash,BUY,2021-10-11 01:45:00+00:00,2021-10-11 17:00:40+00:00,4382.04,4412.56,3.05,3.05,3.8.114,DEMO_ACCOUNT,IS
28,US500.cash,BUY,2021-10-15 10:45:00+00:00,2021-10-15 16:56:40+00:00,4448.99,4466.24,1.73,1.73,3.8.114,DEMO_ACCOUNT,IS
30,US500.cash,BUY,2021-10-18 02:45:00+00:00,2021-10-18 13:17:40+00:00,4467.04,4452.7,-1.43,-1.43,3.8.114,DEMO_ACCOUNT,IS
32,US500.cash,BUY,2021-10-20 09:30:00+00:00,2021-10-20 16:37:20+00:00,4516.84,4529.97,1.31,1.31,3.8.114,DEMO_ACCOUNT,IS
34,US500.cash,BUY,2021-10-21 03:00:00+00:00,2021-10-21 22:23:40+00:00,4532.29,4548.05,1.58,1.58,3.8.114,DEMO_ACCOUNT,IS
36,US500.cash,BUY,2021-10-22 08:45:00+00:00,2021-10-22 17:28:40+00:00,4545.79,4560.17,1.44,1.44,3.8.114,DEMO_ACCOUNT,IS
38,US500.cash,BUY,2021-10-25 02:45:00+00:00,2021-10-25 16:20:40+00:00,4535.14,4558.16,2.3,2.3,3.8.114,DEMO_ACCOUNT,IS
40,US500.cash,BUY,2021-10-27 12:15:00+00:00,2021-10-27 22:19:40+00:00,4573.67,4563.09,-1.06,-1.06,3.8.114,DEMO_ACCOUNT,IS
42,US500.cash,BUY,2021-10-28 09:15:00+00:00,2021-10-28 16:30:40+00:00,4560.09,4574.98,1.49,1.49,3.8.114,DEMO_ACCOUNT,IS
44,US500.cash,BUY,2021-10-29 08:15:00+00:00,2021-10-29 18:10:40+00:00,4579.19,4595.66,1.65,1.65,3.8.114,DEMO_ACCOUNT,IS
46,US500.cash,BUY,2021-11-01 09:15:00+00:00,2021-11-01 12:10:40+00:00,4613.19,4628.66,1.55,1.55,3.8.114,DEMO_ACCOUNT,IS
48,US500.cash,BUY,2021-11-03 07:00:00+00:00,2021-11-03 21:01:20+00:00,4629.64,4641.09,1.15,1.15,3.8.114,DEMO_ACCOUNT,IS
50,US500.cash,BUY,2021-11-05 05:00:00+00:00,2021-11-05 14:10:40+00:00,4680.64,4697.13,1.65,1.65,3.8.114,DEMO_ACCOUNT,IS
52,US500.cash,BUY,2021-11-08 19:15:00+00:00,2021-11-08 23:45:00+00:00,4699.09,4702.2,0.31,0.31,3.8.114,DEMO_ACCOUNT,IS
54,US500.cash,BUY,2021-11-10 04:45:00+00:00,2021-11-10 20:46:40+00:00,4672.29,4658.69,-1.36,-1.36,3.8.114,DEMO_ACCOUNT,IS
56,US500.cash,BUY,2021-11-11 16:45:00+00:00,2021-11-11 23:45:00+00:00,4660.54,4655.15,-0.54,-0.54,3.8.114,DEMO_ACCOUNT,IS
58,US500.cash,BUY,2021-11-15 05:15:00+00:00,2021-11-15 15:18:20+00:00,4689.54,4704.63,1.51,1.51,3.8.114,DEMO_ACCOUNT,IS
60,US500.cash,BUY,2021-11-17 05:00:00+00:00,2021-11-17 16:36:20+00:00,4703.79,4694.96,-0.88,-0.88,3.8.114,DEMO_ACCOUNT,IS
