position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDCAD,BUY,2021-07-05 16:15:00+00:00,2021-07-05 23:45:00+00:00,1.2359,1.23414,-14.76,-14.76,6.27.122,DEMO_ACCOUNT,IS
4,USDCAD,BUY,2021-07-06 03:45:00+00:00,2021-07-06 12:35:40+00:00,1.23404,1.2364,18.59,18.59,6.27.122,DEMO_ACCOUNT,IS
6,USDCAD,BUY,2021-07-07 13:00:00+00:00,2021-07-07 17:04:40+00:00,1.24345,1.2465,23.97,23.97,6.27.122,DEMO_ACCOUNT,IS
8,USDCAD,BUY,2021-07-08 12:00:00+00:00,2021-07-08 19:11:20+00:00,1.2565,1.2525,-32.44,-32.44,6.27.122,DEMO_ACCOUNT,IS
10,USDCAD,BUY,2021-07-09 10:15:00+00:00,2021-07-09 15:31:40+00:00,1.25239,1.24839,-32.54,-32.54,6.27.122,DEMO_ACCOUNT,IS
12,USDCAD,BUY,2021-07-12 14:15:00+00:00,2021-07-12 17:17:40+00:00,1.25123,1.24723,-32.57,-32.57,6.27.122,DEMO_ACCOUNT,IS
14,USDCAD,BUY,2021-07-13 09:15:00+00:00,2021-07-13 12:47:40+00:00,1.24607,1.24793,14.4,14.4,6.27.122,DEMO_ACCOUNT,IS
16,USDCAD,BUY,2021-07-14 08:45:00+00:00,2021-07-14 12:09:40+00:00,1.25045,1.25242,15.23,15.23,6.27.122,DEMO_ACCOUNT,IS
18,USDCAD,BUY,2021-07-15 11:00:00+00:00,2021-07-15 16:02:40+00:00,1.25292,1.25602,24.18,24.18,6.27.122,DEMO_ACCOUNT,IS
20,USDCAD,BUY,2021-07-16 11:15:00+00:00,2021-07-16 22:13:40+00:00,1.25845,1.26142,23.04,23.04,6.27.122,DEMO_ACCOUNT,IS
22,USDCAD,BUY,2021-07-19 12:45:00+00:00,2021-07-19 13:11:40+00:00,1.27505,1.27967,35.6,35.6,6.27.122,DEMO_ACCOUNT,IS
24,USDCAD,BUY,2021-07-20 09:00:00+00:00,2021-07-20 18:54:40+00:00,1.27693,1.27293,-31.92,-31.92,6.27.122,DEMO_ACCOUNT,IS
26,USDCAD,BUY,2021-07-21 15:15:00+00:00,2021-07-21 16:34:40+00:00,1.2684,1.2644,-32.14,-32.14,6.27.122,DEMO_ACCOUNT,IS
28,USDCAD,BUY,2021-07-22 09:15:00+00:00,2021-07-22 14:51:20+00:00,1.2586,1.2546,-32.38,-32.38,6.27.122,DEMO_ACCOUNT,IS
30,USDCAD,BUY,2021-07-23 09:15:00+00:00,2021-07-23 16:54:40+00:00,1.25725,1.25919,14.91,14.91,6.27.122,DEMO_ACCOUNT,IS
