position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDCAD,SELL,2021-07-06 15:15:00+00:00,2021-07-06 16:05:40+00:00,1.23668,1.23947,-23.01,-23.01,3.51.113,DEMO_ACCOUNT,IS
4,USDCAD,SELL,2021-07-13 12:45:00+00:00,2021-07-13 15:30:40+00:00,1.24771,1.24975,-16.82,-16.82,3.51.113,DEMO_ACCOUNT,IS
6,USDCAD,SELL,2021-07-15 05:00:00+00:00,2021-07-15 11:15:40+00:00,1.25356,1.25141,16.68,16.68,3.51.113,DEMO_ACCOUNT,IS
8,USDCAD,SELL,2021-07-26 10:00:00+00:00,2021-07-26 10:20:00+00:00,1.25884,1.25718,12.7,12.7,3.51.113,DEMO_ACCOUNT,IS
10,USDCAD,SELL,2021-07-27 10:15:00+00:00,2021-07-27 10:27:20+00:00,1.25751,1.25945,-15.9,-15.9,3.51.113,DEMO_ACCOUNT,IS
12,USDCAD,SELL,2021-08-02 19:00:00+00:00,2021-08-02 23:45:00+00:00,1.25014,1.25066,-4.66,-4.66,3.51.113,DEMO_ACCOUNT,IS
14,USDCAD,SELL,2021-08-04 14:15:00+00:00,2021-08-04 16:54:00+00:00,1.25457,1.25261,15.15,15.15,3.51.113,DEMO_ACCOUNT,IS
16,USDCAD,SELL,2021-08-06 15:45:00+00:00,2021-08-06 16:48:40+00:00,1.25281,1.25515,-19.14,-19.14,3.51.113,DEMO_ACCOUNT,IS
18,USDCAD,SELL,2021-08-12 15:45:00+00:00,2021-08-12 16:57:40+00:00,1.25226,1.25073,11.73,11.73,3.51.113,DEMO_ACCOUNT,IS
20,USDCAD,SELL,2021-08-16 06:15:00+00:00,2021-08-16 10:01:20+00:00,1.25385,1.25539,-12.77,-12.77,3.51.113,DEMO_ACCOUNT,IS
22,USDCAD,SELL,2021-08-18 13:30:00+00:00,2021-08-18 14:59:20+00:00,1.2629,1.26132,12.03,12.03,3.51.113,DEMO_ACCOUNT,IS
24,USDCAD,SELL,2021-08-26 06:15:00+00:00,2021-08-26 10:27:40+00:00,1.26222,1.26082,10.6,10.6,3.51.113,DEMO_ACCOUNT,IS
26,USDCAD,SELL,2021-08-31 17:00:00+00:00,2021-08-31 23:45:00+00:00,1.26224,1.26134,6.64,6.64,3.51.113,DEMO_ACCOUNT,IS
28,USDCAD,SELL,2021-09-06 12:15:00+00:00,2021-09-06 16:20:40+00:00,1.25488,1.25344,10.99,10.99,3.51.113,DEMO_ACCOUNT,IS
30,USDCAD,SELL,2021-09-07 09:45:00+00:00,2021-09-07 11:07:40+00:00,1.2553,1.2571,-14.82,-14.82,3.51.113,DEMO_ACCOUNT,IS
32,USDCAD,SELL,2021-09-13 05:00:00+00:00,2021-09-13 06:15:40+00:00,1.26899,1.26707,14.65,14.65,3.51.113,DEMO_ACCOUNT,IS
34,USDCAD,SELL,2021-09-14 08:00:00+00:00,2021-09-14 15:30:40+00:00,1.26527,1.26353,13.27,13.27,3.51.113,DEMO_ACCOUNT,IS
36,USDCAD,SELL,2021-09-16 17:00:00+00:00,2021-09-16 17:32:40+00:00,1.26668,1.27006,-27.11,-27.11,3.51.113,DEMO_ACCOUNT,IS
38,USDCAD,SELL,2021-09-17 05:00:00+00:00,2021-09-17 06:55:40+00:00,1.26888,1.26707,13.78,13.78,3.51.113,DEMO_ACCOUNT,IS
40,USDCAD,SELL,2021-09-21 16:45:00+00:00,2021-09-21 17:10:20+00:00,1.27945,1.28369,-33.53,-33.53,3.51.113,DEMO_ACCOUNT,IS
42,USDCAD,SELL,2021-09-24 15:00:00+00:00,2021-09-24 17:02:40+00:00,1.27083,1.26813,20.79,20.79,3.51.113,DEMO_ACCOUNT,IS
44,USDCAD,SELL,2021-09-27 15:15:00+00:00,2021-09-27 17:19:40+00:00,1.26637,1.2636,21.42,21.42,3.51.113,DEMO_ACCOUNT,IS
46,USDCAD,SELL,2021-09-28 13:15:00+00:00,2021-09-28 15:55:20+00:00,1.26526,1.26841,-25.33,-25.33,3.51.113,DEMO_ACCOUNT,IS
48,USDCAD,SELL,2021-09-29 14:45:00+00:00,2021-09-29 17:05:40+00:00,1.26963,1.27313,-27.99,-27.99,3.51.113,DEMO_ACCOUNT,IS
50,USDCAD,SELL,2021-10-01 07:00:00+00:00,2021-10-01 12:03:40+00:00,1.2719,1.2695,18.41,18.41,3.51.113,DEMO_ACCOUNT,IS
52,USDCAD,SELL,2021-10-06 06:30:00+00:00,2021-10-06 10:11:40+00:00,1.25997,1.26231,-19.04,-19.04,3.51.113,DEMO_ACCOUNT,IS
54,USDCAD,SELL,2021-10-15 17:30:00+00:00,2021-10-15 17:47:40+00:00,1.23894,1.23622,21.5,21.5,3.51.113,DEMO_ACCOUNT,IS
56,USDCAD,SELL,2021-10-18 06:30:00+00:00,2021-10-18 16:42:40+00:00,1.23909,1.2372,14.78,14.78,3.51.113,DEMO_ACCOUNT,IS
58,USDCAD,SELL,2021-10-19 16:45:00+00:00,2021-10-19 17:01:40+00:00,1.2373,1.23509,17.39,17.39,3.51.113,DEMO_ACCOUNT,IS
60,USDCAD,SELL,2021-10-21 12:30:00+00:00,2021-10-21 16:33:40+00:00,1.23439,1.23228,16.62,16.62,3.51.113,DEMO_ACCOUNT,IS
62,USDCAD,SELL,2021-10-25 15:45:00+00:00,2021-10-25 19:36:40+00:00,1.23712,1.23966,-20.99,-20.99,3.51.113,DEMO_ACCOUNT,IS
64,USDCAD,SELL,2021-10-27 05:00:00+00:00,2021-10-27 11:30:40+00:00,1.2398,1.2417,-15.8,-15.8,3.51.113,DEMO_ACCOUNT,IS
66,USDCAD,SELL,2021-10-28 07:30:00+00:00,2021-10-28 14:03:40+00:00,1.23766,1.23583,14.31,14.31,3.51.113,DEMO_ACCOUNT,IS
68,USDCAD,SELL,2021-10-29 10:00:00+00:00,2021-10-29 10:12:40+00:00,1.23634,1.23469,12.86,12.86,3.51.113,DEMO_ACCOUNT,IS
70,USDCAD,SELL,2021-11-01 10:45:00+00:00,2021-11-01 12:39:40+00:00,1.2397,1.23807,12.67,12.67,3.51.113,DEMO_ACCOUNT,IS
72,USDCAD,SELL,2021-11-02 05:15:00+00:00,2021-11-02 09:05:40+00:00,1.23773,1.23956,-15.26,-15.26,3.51.113,DEMO_ACCOUNT,IS
74,USDCAD,SELL,2021-11-04 12:45:00+00:00,2021-11-04 15:04:40+00:00,1.24116,1.24324,-17.23,-17.23,3.51.113,DEMO_ACCOUNT,IS
76,USDCAD,SELL,2021-11-09 05:30:00+00:00,2021-11-09 07:40:20+00:00,1.24539,1.2438,12.28,12.28,3.51.113,DEMO_ACCOUNT,IS
