position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDCHF,BUY,2021-07-06 00:15:00+00:00,2021-07-06 09:04:40+00:00,0.92274,0.92003,-29.96,-29.96,4.5.112,DEMO_ACCOUNT,IS
4,USDCHF,BUY,2021-07-07 00:15:00+00:00,2021-07-07 23:45:00+00:00,0.92499,0.92565,6.63,6.63,4.5.112,DEMO_ACCOUNT,IS
6,USDCHF,BUY,2021-07-08 08:30:00+00:00,2021-07-08 10:36:40+00:00,0.92519,0.92285,-25.86,-25.86,4.5.112,DEMO_ACCOUNT,IS
8,USDCHF,BUY,2021-07-12 04:30:00+00:00,2021-07-12 07:01:40+00:00,0.91356,0.91479,12.95,12.95,4.5.112,DEMO_ACCOUNT,IS
10,USDCHF,BUY,2021-07-13 03:15:00+00:00,2021-07-13 10:51:40+00:00,0.91482,0.91579,10.09,10.09,4.5.112,DEMO_ACCOUNT,IS
12,USDCHF,BUY,2021-07-16 00:15:00+00:00,2021-07-16 10:32:40+00:00,0.91777,0.91948,18.1,18.1,4.5.112,DEMO_ACCOUNT,IS
14,USDCHF,BUY,2021-07-19 02:45:00+00:00,2021-07-19 09:44:40+00:00,0.91861,0.92011,15.8,15.8,4.5.112,DEMO_ACCOUNT,IS
16,USDCHF,BUY,2021-07-20 00:15:00+00:00,2021-07-20 14:27:40+00:00,0.91861,0.92046,19.6,19.6,4.5.112,DEMO_ACCOUNT,IS
18,USDCHF,BUY,2021-07-23 11:00:00+00:00,2021-07-23 12:26:40+00:00,0.9193,0.92071,14.81,14.81,4.5.112,DEMO_ACCOUNT,IS
20,USDCHF,BUY,2021-07-26 00:15:00+00:00,2021-07-26 10:24:40+00:00,0.92015,0.91738,-30.69,-30.69,4.5.112,DEMO_ACCOUNT,IS
22,USDCHF,BUY,2021-07-27 03:15:00+00:00,2021-07-27 09:13:40+00:00,0.91509,0.91634,13.14,13.14,4.5.112,DEMO_ACCOUNT,IS
24,USDCHF,BUY,2021-07-29 04:45:00+00:00,2021-07-29 17:15:40+00:00,0.9096,0.90697,-29.5,-29.5,4.5.112,DEMO_ACCOUNT,IS
26,USDCHF,BUY,2021-07-30 10:15:00+00:00,2021-07-30 12:35:40+00:00,0.90649,0.90456,-21.84,-21.84,4.5.112,DEMO_ACCOUNT,IS
