position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USOIL.cash,BUY,2021-07-06 08:45:00+00:00,2021-07-06 14:42:40+00:00,75.979,75.354,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
4,USOIL.cash,BUY,2021-07-07 04:15:00+00:00,2021-07-07 10:03:20+00:00,72.832,73.467,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
6,USOIL.cash,BUY,2021-07-08 04:15:00+00:00,2021-07-08 11:02:40+00:00,71.29,70.665,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
8,USOIL.cash,BUY,2021-07-09 04:15:00+00:00,2021-07-09 10:16:40+00:00,72.261,72.896,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
10,USOIL.cash,BUY,2021-07-13 14:00:00+00:00,2021-07-13 18:42:40+00:00,73.611,74.246,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
12,USOIL.cash,BUY,2021-07-14 01:15:30+00:00,2021-07-14 14:10:40+00:00,74.577,73.952,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
14,USOIL.cash,BUY,2021-07-15 03:30:00+00:00,2021-07-15 04:35:20+00:00,72.159,71.534,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
16,USOIL.cash,BUY,2021-07-16 08:45:00+00:00,2021-07-16 11:55:40+00:00,71.126,71.761,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
18,USOIL.cash,BUY,2021-07-23 17:00:00+00:00,2021-07-23 21:28:40+00:00,71.26,71.895,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
20,USOIL.cash,BUY,2021-07-27 03:30:00+00:00,2021-07-27 18:40:40+00:00,71.823,71.198,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
22,USOIL.cash,BUY,2021-07-28 10:00:00+00:00,2021-07-28 23:45:00+00:00,71.764,72.094,3.3,3.3,6.17.127,DEMO_ACCOUNT,IS
24,USOIL.cash,BUY,2021-07-30 04:15:00+00:00,2021-07-30 16:33:40+00:00,72.856,73.491,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
26,USOIL.cash,BUY,2021-08-03 05:45:00+00:00,2021-08-03 12:00:40+00:00,70.867,71.502,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
28,USOIL.cash,BUY,2021-08-11 13:15:00+00:00,2021-08-11 15:05:40+00:00,67.429,66.804,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
30,USOIL.cash,BUY,2021-08-12 03:30:00+00:00,2021-08-12 18:10:40+00:00,69.031,68.406,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
32,USOIL.cash,BUY,2021-08-13 02:15:00+00:00,2021-08-13 21:33:40+00:00,68.551,67.926,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
34,USOIL.cash,BUY,2021-08-31 21:30:00+00:00,2021-08-31 23:45:00+00:00,68.31,68.396,0.86,0.86,6.17.127,DEMO_ACCOUNT,IS
36,USOIL.cash,BUY,2021-09-01 12:00:00+00:00,2021-09-01 16:03:40+00:00,68.586,67.961,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
38,USOIL.cash,BUY,2021-09-02 03:45:00+00:00,2021-09-02 11:33:40+00:00,67.83,68.465,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
40,USOIL.cash,BUY,2021-09-03 16:30:00+00:00,2021-09-03 21:33:20+00:00,69.607,68.982,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
42,USOIL.cash,BUY,2021-09-07 10:15:00+00:00,2021-09-07 13:19:40+00:00,68.728,68.103,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
44,USOIL.cash,BUY,2021-09-08 20:15:00+00:00,2021-09-08 23:45:00+00:00,68.769,69.189,4.2,4.2,6.17.127,DEMO_ACCOUNT,IS
46,USOIL.cash,BUY,2021-09-09 04:00:00+00:00,2021-09-09 14:07:40+00:00,68.909,69.544,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
48,USOIL.cash,BUY,2021-09-10 04:15:00+00:00,2021-09-10 06:15:40+00:00,67.588,68.223,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
50,USOIL.cash,BUY,2021-09-21 16:00:00+00:00,2021-09-21 17:08:40+00:00,70.503,69.878,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
52,USOIL.cash,BUY,2021-09-22 15:30:00+00:00,2021-09-22 18:50:40+00:00,71.225,71.86,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
54,USOIL.cash,BUY,2021-09-23 10:30:00+00:00,2021-09-23 17:01:40+00:00,72.118,72.753,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
56,USOIL.cash,BUY,2021-09-24 14:15:00+00:00,2021-09-24 17:09:40+00:00,72.972,73.607,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
58,USOIL.cash,BUY,2021-09-30 14:45:00+00:00,2021-09-30 16:36:40+00:00,73.839,73.214,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
60,USOIL.cash,BUY,2021-10-01 10:45:00+00:00,2021-10-01 16:39:40+00:00,74.38,75.015,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
62,USOIL.cash,BUY,2021-10-05 04:00:00+00:00,2021-10-05 13:50:40+00:00,77.337,77.972,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
64,USOIL.cash,BUY,2021-10-08 12:30:00+00:00,2021-10-08 16:30:40+00:00,78.771,79.406,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
66,USOIL.cash,BUY,2021-10-12 02:45:00+00:00,2021-10-12 13:59:40+00:00,79.754,80.389,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
68,USOIL.cash,BUY,2021-10-13 05:45:00+00:00,2021-10-13 18:21:40+00:00,79.369,80.004,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
70,USOIL.cash,BUY,2021-10-14 05:30:00+00:00,2021-10-14 09:26:40+00:00,79.888,80.523,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
72,USOIL.cash,BUY,2021-10-15 15:30:00+00:00,2021-10-15 16:45:40+00:00,81.319,81.954,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
74,USOIL.cash,BUY,2021-10-19 04:00:00+00:00,2021-10-19 08:30:40+00:00,81.299,81.934,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
76,USOIL.cash,BUY,2021-10-20 04:45:00+00:00,2021-10-20 12:40:40+00:00,81.958,81.333,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
78,USOIL.cash,BUY,2021-10-21 05:45:00+00:00,2021-10-21 11:00:40+00:00,83.312,82.687,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
80,USOIL.cash,BUY,2021-10-22 18:00:00+00:00,2021-10-22 19:17:40+00:00,82.406,83.041,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
82,USOIL.cash,BUY,2021-10-26 04:45:00+00:00,2021-10-26 15:05:40+00:00,83.146,83.781,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
84,USOIL.cash,BUY,2021-10-27 17:45:00+00:00,2021-10-27 18:11:40+00:00,82.733,83.368,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
86,USOIL.cash,BUY,2021-10-28 03:45:00+00:00,2021-10-28 04:14:20+00:00,81.336,80.711,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
88,USOIL.cash,BUY,2021-10-29 09:15:00+00:00,2021-10-29 15:19:40+00:00,82.128,81.503,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
90,USOIL.cash,BUY,2021-11-02 14:30:00+00:00,2021-11-02 15:58:40+00:00,82.571,83.206,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
92,USOIL.cash,BUY,2021-11-03 11:00:00+00:00,2021-11-03 14:10:40+00:00,81.605,80.98,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
94,USOIL.cash,BUY,2021-11-04 04:15:00+00:00,2021-11-04 10:11:40+00:00,79.002,79.637,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
96,USOIL.cash,BUY,2021-11-05 08:30:00+00:00,2021-11-05 11:15:40+00:00,78.605,79.24,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
98,USOIL.cash,BUY,2021-11-09 05:30:00+00:00,2021-11-09 11:31:40+00:00,80.898,81.533,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
100,USOIL.cash,BUY,2021-11-10 11:30:00+00:00,2021-11-10 15:56:40+00:00,82.487,83.122,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
102,USOIL.cash,BUY,2021-11-11 08:45:00+00:00,2021-11-11 11:33:40+00:00,80.163,80.798,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
104,USOIL.cash,BUY,2021-11-12 05:15:00+00:00,2021-11-12 11:00:40+00:00,80.012,79.387,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
106,USOIL.cash,BUY,2021-11-16 11:15:00+00:00,2021-11-16 16:39:40+00:00,80.023,79.398,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
108,USOIL.cash,BUY,2021-11-17 01:15:00+00:00,2021-11-17 03:59:40+00:00,79.552,78.927,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
110,USOIL.cash,BUY,2021-11-18 03:15:00+00:00,2021-11-18 15:09:40+00:00,76.902,77.537,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
112,USOIL.cash,BUY,2021-11-19 11:00:00+00:00,2021-11-19 11:38:40+00:00,78.699,78.074,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
114,USOIL.cash,BUY,2021-11-24 01:15:00+00:00,2021-11-24 09:01:40+00:00,78.213,78.848,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
116,USOIL.cash,BUY,2021-11-25 09:00:00+00:00,2021-11-26 01:05:00+00:00,77.956,77.9,-0.52,-0.52,6.17.127,DEMO_ACCOUNT,IS
118,USOIL.cash,BUY,2021-11-26 01:45:00+00:00,2021-11-26 02:30:40+00:00,77.589,76.964,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
120,USOIL.cash,BUY,2021-12-08 08:45:00+00:00,2021-12-08 11:46:40+00:00,71.505,72.14,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
122,USOIL.cash,BUY,2021-12-09 09:15:00+00:00,2021-12-09 10:44:40+00:00,72.553,71.928,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
124,USOIL.cash,BUY,2021-12-10 08:00:00+00:00,2021-12-10 10:52:40+00:00,70.474,71.109,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
126,USOIL.cash,BUY,2021-12-14 04:00:00+00:00,2021-12-14 10:10:40+00:00,70.859,71.494,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
128,USOIL.cash,BUY,2021-12-15 03:15:00+00:00,2021-12-15 19:56:40+00:00,69.747,70.382,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
130,USOIL.cash,BUY,2021-12-16 11:00:00+00:00,2021-12-16 17:46:40+00:00,71.278,71.913,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
132,USOIL.cash,BUY,2021-12-17 11:00:00+00:00,2021-12-17 12:49:40+00:00,71.239,70.614,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
134,USOIL.cash,BUY,2021-12-21 10:00:00+00:00,2021-12-21 13:36:40+00:00,69.037,69.672,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
136,USOIL.cash,BUY,2021-12-22 10:30:00+00:00,2021-12-22 11:40:20+00:00,70.914,71.549,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
138,USOIL.cash,BUY,2021-12-23 08:30:00+00:00,2021-12-23 18:23:40+00:00,72.706,73.341,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
140,USOIL.cash,BUY,2021-12-28 16:45:00+00:00,2021-12-28 23:45:00+00:00,75.938,75.959,0.21,0.21,6.17.127,DEMO_ACCOUNT,IS
142,USOIL.cash,BUY,2021-12-29 05:30:00+00:00,2021-12-29 17:33:40+00:00,75.671,76.306,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
144,USOIL.cash,BUY,2022-01-04 09:15:00+00:00,2022-01-04 12:10:40+00:00,75.78,76.415,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
146,USOIL.cash,BUY,2022-01-05 04:00:00+00:00,2022-01-05 15:09:40+00:00,76.63,77.265,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
148,USOIL.cash,BUY,2022-01-06 04:00:00+00:00,2022-01-06 10:03:20+00:00,76.652,77.287,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
150,USOIL.cash,BUY,2022-01-07 09:45:00+00:00,2022-01-07 16:34:40+00:00,79.399,78.774,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
152,USOIL.cash,BUY,2022-01-11 15:30:00+00:00,2022-01-11 16:01:40+00:00,78.716,79.351,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
154,USOIL.cash,BUY,2022-01-26 05:00:00+00:00,2022-01-26 09:53:40+00:00,84.732,85.367,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
156,USOIL.cash,BUY,2022-01-27 04:30:00+00:00,2022-01-27 10:18:40+00:00,86.092,86.727,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
158,USOIL.cash,BUY,2022-01-28 10:45:00+00:00,2022-01-28 15:02:40+00:00,86.377,87.012,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
160,USOIL.cash,BUY,2022-02-01 04:00:00+00:00,2022-02-01 11:23:40+00:00,87.366,86.741,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
162,USOIL.cash,BUY,2022-02-02 10:15:00+00:00,2022-02-02 14:54:40+00:00,87.226,87.861,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
164,USOIL.cash,BUY,2022-02-03 01:45:00+00:00,2022-02-03 12:42:40+00:00,86.798,86.173,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
166,USOIL.cash,BUY,2022-02-04 08:30:00+00:00,2022-02-04 10:52:40+00:00,89.487,90.122,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
168,USOIL.cash,BUY,2022-02-08 03:30:00+00:00,2022-02-08 12:12:40+00:00,89.943,89.318,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
170,USOIL.cash,BUY,2022-02-09 08:45:00+00:00,2022-02-09 16:26:20+00:00,88.036,88.671,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
172,USOIL.cash,BUY,2022-02-10 03:30:00+00:00,2022-02-10 11:33:20+00:00,88.748,89.383,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
174,USOIL.cash,BUY,2022-02-11 02:30:00+00:00,2022-02-11 11:17:40+00:00,88.499,89.134,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
176,USOIL.cash,BUY,2022-02-15 16:30:00+00:00,2022-02-15 16:54:40+00:00,90.007,89.382,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
178,USOIL.cash,BUY,2022-02-16 21:15:00+00:00,2022-02-16 22:00:40+00:00,91.613,90.988,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
180,USOIL.cash,BUY,2022-02-17 12:15:00+00:00,2022-02-17 13:59:40+00:00,89.561,90.196,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
182,USOIL.cash,BUY,2022-02-18 03:15:00+00:00,2022-02-18 10:22:40+00:00,89.309,88.684,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
184,USOIL.cash,BUY,2022-02-22 15:00:00+00:00,2022-02-22 16:28:40+00:00,92.618,93.253,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
186,USOIL.cash,BUY,2022-02-23 08:15:00+00:00,2022-02-23 10:52:40+00:00,91.552,90.927,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
188,USOIL.cash,BUY,2022-02-25 08:15:00+00:00,2022-02-25 09:20:40+00:00,93.75,94.385,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
190,USOIL.cash,BUY,2022-03-02 13:00:00+00:00,2022-03-02 13:17:40+00:00,106.118,106.753,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
192,USOIL.cash,BUY,2022-03-23 09:15:00+00:00,2022-03-23 10:16:40+00:00,109.105,109.74,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
194,USOIL.cash,BUY,2022-03-25 10:45:00+00:00,2022-03-25 10:57:40+00:00,110.442,109.817,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
196,USOIL.cash,BUY,2022-03-29 15:00:00+00:00,2022-03-29 15:01:40+00:00,102.438,101.813,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
198,USOIL.cash,BUY,2022-03-30 19:45:00+00:00,2022-03-30 21:20:40+00:00,105.859,106.494,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
200,USOIL.cash,BUY,2022-03-31 03:15:00+00:00,2022-03-31 03:17:40+00:00,103.826,103.201,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
202,USOIL.cash,BUY,2022-04-01 03:15:00+00:00,2022-04-01 04:10:40+00:00,99.07,98.445,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
204,USOIL.cash,BUY,2022-04-05 10:15:00+00:00,2022-04-05 11:52:40+00:00,103.234,103.869,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
206,USOIL.cash,BUY,2022-04-06 16:15:00+00:00,2022-04-06 16:27:20+00:00,101.606,100.981,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
208,USOIL.cash,BUY,2022-04-07 11:00:00+00:00,2022-04-07 11:03:40+00:00,96.059,95.434,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
210,USOIL.cash,BUY,2022-04-08 04:15:00+00:00,2022-04-08 05:37:40+00:00,95.74,95.115,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
212,USOIL.cash,BUY,2022-04-13 06:45:00+00:00,2022-04-13 08:00:40+00:00,100.219,99.594,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
214,USOIL.cash,BUY,2022-04-14 16:00:00+00:00,2022-04-14 16:31:40+00:00,101.933,102.568,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
216,USOIL.cash,BUY,2022-04-20 12:45:00+00:00,2022-04-20 14:27:40+00:00,102.536,103.171,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
218,USOIL.cash,BUY,2022-04-21 16:00:00+00:00,2022-04-21 16:02:40+00:00,102.271,102.906,6.35,6.35,6.17.127,DEMO_ACCOUNT,IS
220,USOIL.cash,BUY,2022-04-22 04:15:00+00:00,2022-04-22 08:30:40+00:00,102.932,102.307,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
222,USOIL.cash,BUY,2022-04-26 09:45:00+00:00,2022-04-26 10:44:40+00:00,98.519,97.894,-6.25,-6.25,6.17.127,DEMO_ACCOUNT,IS
