position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,XAUUSD,SELL,2021-07-05 02:00:00+00:00,2021-07-06 01:05:00+00:00,1785.56,1792.4,-68.23,-68.23,5.6.136,DEMO_ACCOUNT,IS
4,XAUUSD,BUY,2021-07-06 01:05:00+00:00,2021-07-06 08:00:40+00:00,1792.4,1802.6,101.74,101.74,5.6.136,DEMO_ACCOUNT,IS
6,XAUUSD,SELL,2021-07-07 01:15:00+00:00,2021-07-07 10:00:40+00:00,1796.75,1806.75,-100.26,-100.26,5.6.136,DEMO_ACCOUNT,IS
8,XAUUSD,BUY,2021-07-08 02:15:00+00:00,2021-07-08 11:00:40+00:00,1804.83,1815.03,101.74,101.74,5.6.136,DEMO_ACCOUNT,IS
10,XAUUSD,BUY,2021-07-09 01:05:00+00:00,2021-07-09 23:45:00+00:00,1803.07,1808.22,51.24,51.24,5.6.136,DEMO_ACCOUNT,IS
12,XAUUSD,SELL,2021-07-12 01:05:00+00:00,2021-07-12 08:00:40+00:00,1807.97,1801.37,65.74,65.74,5.6.136,DEMO_ACCOUNT,IS
14,XAUUSD,BUY,2021-07-13 01:05:00+00:00,2021-07-13 15:00:20+00:00,1806.43,1816.63,101.74,101.74,5.6.136,DEMO_ACCOUNT,IS
16,XAUUSD,BUY,2021-07-14 05:15:00+00:00,2021-07-14 15:00:40+00:00,1809.66,1819.86,101.74,101.74,5.6.136,DEMO_ACCOUNT,IS
18,XAUUSD,BUY,2021-07-15 01:05:00+00:00,2021-07-15 23:45:00+00:00,1827.53,1829.25,16.94,16.94,5.6.136,DEMO_ACCOUNT,IS
20,XAUUSD,BUY,2021-07-16 01:05:00+00:00,2021-07-16 13:00:40+00:00,1829.93,1819.93,-100.26,-100.26,5.6.136,DEMO_ACCOUNT,IS
22,XAUUSD,BUY,2021-07-19 03:00:00+00:00,2021-07-19 09:00:40+00:00,1815.67,1805.67,-100.26,-100.26,5.6.136,DEMO_ACCOUNT,IS
24,XAUUSD,BUY,2021-07-20 01:05:00+00:00,2021-07-20 15:00:40+00:00,1812.81,1823.01,101.74,101.74,5.6.136,DEMO_ACCOUNT,IS
