position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
922,AUDUSD,SELL,2024-07-04 04:45:00+00:00,2024-07-04 15:19:20+00:00,0.67204,0.67318,-11.9,-11.9,5.9.126,DEMO_ACCOUNT,OOS
924,AUDUSD,SELL,2024-07-05 03:30:00+00:00,2024-07-05 15:30:20+00:00,0.67295,0.6717,12.0,12.0,5.9.126,DEMO_ACCOUNT,OOS
926,AUDUSD,SELL,2024-07-08 06:30:00+00:00,2024-07-08 23:45:00+00:00,0.67563,0.67364,19.4,19.4,5.9.126,DEMO_ACCOUNT,OOS
928,AUDUSD,SELL,2024-07-09 02:45:00+00:00,2024-07-09 17:05:40+00:00,0.67412,0.67279,12.8,12.8,5.9.126,DEMO_ACCOUNT,OOS
930,AUDUSD,SELL,2024-07-10 17:15:00+00:00,2024-07-10 23:45:00+00:00,0.67473,0.6747,-0.2,-0.2,5.9.126,DEMO_ACCOUNT,OOS
932,AUDUSD,SELL,2024-07-11 15:45:00+00:00,2024-07-11 17:05:40+00:00,0.67953,0.67904,4.4,4.4,5.9.126,DEMO_ACCOUNT,OOS
934,AUDUSD,SELL,2024-07-12 02:30:00+00:00,2024-07-12 11:33:40+00:00,0.67662,0.67761,-10.4,-10.4,5.9.126,DEMO_ACCOUNT,OOS
936,AUDUSD,SELL,2024-07-15 06:15:00+00:00,2024-07-15 11:27:40+00:00,0.67779,0.67881,-10.7,-10.7,5.9.126,DEMO_ACCOUNT,OOS
938,AUDUSD,SELL,2024-07-16 21:30:00+00:00,2024-07-16 23:45:00+00:00,0.67311,0.67346,-4.0,-4.0,5.9.126,DEMO_ACCOUNT,OOS
940,AUDUSD,SELL,2024-07-17 05:00:00+00:00,2024-07-17 11:52:40+00:00,0.67393,0.67512,-12.4,-12.4,5.9.126,DEMO_ACCOUNT,OOS
942,AUDUSD,SELL,2024-07-18 05:15:00+00:00,2024-07-18 21:39:40+00:00,0.67355,0.67047,30.3,30.3,5.9.126,DEMO_ACCOUNT,OOS
944,AUDUSD,SELL,2024-07-22 01:15:00+00:00,2024-07-22 05:00:40+00:00,0.66913,0.66707,20.1,20.1,5.9.126,DEMO_ACCOUNT,OOS
946,AUDUSD,SELL,2024-07-24 14:45:00+00:00,2024-07-24 22:01:40+00:00,0.66037,0.65793,23.9,23.9,5.9.126,DEMO_ACCOUNT,OOS
948,AUDUSD,SELL,2024-07-25 17:30:00+00:00,2024-07-25 23:45:00+00:00,0.65512,0.65369,13.8,13.8,5.9.126,DEMO_ACCOUNT,OOS
950,AUDUSD,SELL,2024-07-26 04:45:00+00:00,2024-07-26 23:45:00+00:00,0.65506,0.65493,0.8,0.8,5.9.126,DEMO_ACCOUNT,OOS
952,AUDUSD,SELL,2024-07-29 02:30:00+00:00,2024-07-29 15:58:40+00:00,0.65598,0.65383,21.0,21.0,5.9.126,DEMO_ACCOUNT,OOS
954,AUDUSD,SELL,2024-07-30 01:15:00+00:00,2024-07-30 04:45:40+00:00,0.65552,0.65361,18.6,18.6,5.9.126,DEMO_ACCOUNT,OOS
