symbol,symbol_norm,magic,direction,comment_last,n,first_close,last_close,position_ids,tickets,pnl_sum,avg_pnl,raw_bad_magic
USDJPY,USDJPY,37,BUY,Strategy 0.18430,2,2026-06-01 23:45:00+00:00,2026-06-02 23:45:00+00:00,2,2,11.32,5.66,False
AUDJPY,AUDJPY,99,BUY,[sl 114.064],1,2026-06-04 15:30:01+00:00,2026-06-04 15:30:01+00:00,1,1,-2.06,-2.06,False
AUDJPY,AUDJPY,99,BUY,[tp 114.655],1,2026-06-02 09:47:50+00:00,2026-06-02 09:47:50+00:00,1,1,14.65,14.65,False
AUDJPY,AUDJPY,99,BUY,[sl 114.510],1,2026-06-01 09:35:18+00:00,2026-06-01 09:35:18+00:00,1,1,-5.08,-5.08,False
GBPUSD,GBPUSD,93,BUY,[tp 1.34563],1,2026-06-04 14:17:09+00:00,2026-06-04 14:17:09+00:00,1,1,34.7,34.7,False
NZDUSD,NZDUSD,27,SELL,[tp 0.58548],1,2026-06-05 04:21:32+00:00,2026-06-05 04:21:32+00:00,1,1,16.6,16.6,False
NZDUSD,NZDUSD,76,BUY,[sl 0.58847],1,2026-06-03 15:38:45+00:00,2026-06-03 15:38:45+00:00,1,1,-16.0,-16.0,False
NZDUSD,NZDUSD,76,BUY,[sl 0.59514],1,2026-06-01 12:49:26+00:00,2026-06-01 12:49:26+00:00,1,1,-16.4,-16.4,False
NZDUSD,NZDUSD,76,BUY,[tp 0.58792],1,2026-06-04 14:09:22+00:00,2026-06-04 14:09:22+00:00,1,1,11.6,11.6,False
US500.cash,US500,28,BUY,[sl 7546.40],1,2026-06-05 03:52:23+00:00,2026-06-05 03:52:23+00:00,1,1,-2.31,-2.31,False
US500.cash,US500,28,BUY,[sl 7581.44],1,2026-06-03 16:44:59+00:00,2026-06-03 16:44:59+00:00,1,1,-1.88,-1.88,False
US500.cash,US500,28,BUY,[sl 7582.12],1,2026-06-01 16:11:50+00:00,2026-06-01 16:11:50+00:00,1,1,-1.47,-1.47,False
US500.cash,US500,29,BUY,[sl 7531.53],1,2026-06-04 02:00:47+00:00,2026-06-04 02:00:47+00:00,1,1,0.19,0.19,False
US500.cash,US500,29,BUY,[sl 7580.62],1,2026-06-01 01:16:08+00:00,2026-06-01 01:16:08+00:00,1,1,0.4,0.4,False
US500.cash,US500,29,BUY,[sl 7591.98],1,2026-06-02 10:28:34+00:00,2026-06-02 10:28:34+00:00,1,1,0.05,0.05,False
US500.cash,US500,29,BUY,[sl 7610.23],1,2026-06-03 02:45:02+00:00,2026-06-03 02:45:02+00:00,1,1,0.45,0.45,False
US500.cash,US500,82,BUY,[sl 7586.00],1,2026-06-03 16:44:22+00:00,2026-06-03 16:44:22+00:00,1,1,-1.15,-1.15,False
US500.cash,US500,82,BUY,[sl 7598.59],1,2026-06-03 15:30:22+00:00,2026-06-03 15:30:22+00:00,1,1,-0.94,-0.94,False
USDCAD,USDCAD,30,BUY,[tp 1.38494],1,2026-06-02 12:09:10+00:00,2026-06-02 12:09:10+00:00,1,1,6.43,6.43,False
GBPUSD,GBPUSD,93,BUY,[sl 1.34195],1,2026-06-03 17:00:00+00:00,2026-06-03 17:00:00+00:00,1,1,-32.7,-32.7,False
USDCAD,USDCAD,30,BUY,[tp 1.38558],1,2026-06-03 09:23:10+00:00,2026-06-03 09:23:10+00:00,1,1,10.83,10.83,False
USDCAD,USDCAD,30,BUY,[tp 1.39008],1,2026-06-04 18:18:37+00:00,2026-06-04 18:18:37+00:00,1,1,12.52,12.52,False
USDCAD,USDCAD,77,SELL,[sl 1.38587],1,2026-06-03 09:24:27+00:00,2026-06-03 09:24:27+00:00,1,1,-9.09,-9.09,False
USDCAD,USDCAD,77,SELL,[sl 1.38286],1,2026-06-01 14:03:30+00:00,2026-06-01 14:03:30+00:00,1,1,-12.43,-12.43,False
USDCAD,USDCAD,91,BUY,[sl 1.38149],1,2026-06-02 16:37:57+00:00,2026-06-02 16:37:57+00:00,1,1,-21.49,-21.49,False
USDCAD,USDCAD,91,BUY,[tp 1.38404],1,2026-06-01 16:12:30+00:00,2026-06-01 16:12:30+00:00,1,1,9.18,9.18,False
USDCAD,USDCAD,91,BUY,[tp 1.38523],1,2026-06-03 08:26:59+00:00,2026-06-03 08:26:59+00:00,1,1,7.4399999999999995,7.4399999999999995,False
USDCAD,USDCAD,89,BUY,[tp 1.38444],1,2026-06-02 11:23:12+00:00,2026-06-02 11:23:12+00:00,1,1,4.12,4.12,False
USDCAD,USDCAD,91,BUY,[tp 1.38577],1,2026-06-03 11:33:27+00:00,2026-06-03 11:33:27+00:00,1,1,7.08,7.08,False
USDCAD,USDCAD,91,BUY,[tp 1.39039],1,2026-06-04 06:31:33+00:00,2026-06-04 06:31:33+00:00,1,1,8.2,8.2,False
USDCAD,USDCAD,92,BUY,[tp 1.38481],1,2026-06-02 11:48:30+00:00,2026-06-02 11:48:30+00:00,1,1,3.9800000000000004,3.9800000000000004,False
USDCAD,USDCAD,92,BUY,[tp 1.38132],1,2026-06-01 10:35:47+00:00,2026-06-01 10:35:47+00:00,1,1,5.8,5.8,False
USDCHF,USDCHF,35,SELL,[sl 0.78453],1,2026-06-01 15:43:43+00:00,2026-06-01 15:43:43+00:00,1,1,-17.32,-17.32,False
USDCHF,USDCHF,36,BUY,[tp 0.78734],1,2026-06-02 19:42:35+00:00,2026-06-02 19:42:35+00:00,1,1,13.6,13.6,False
USDJPY,USDJPY,40,BUY,[sl 159.440],1,2026-06-03 11:31:14+00:00,2026-06-03 11:31:14+00:00,1,1,-32.17,-32.17,False
USOIL.cash,USOIL,42,BUY,[sl 95.193],1,2026-06-04 14:39:53+00:00,2026-06-04 14:39:53+00:00,1,1,-20.94,-20.94,False
USOIL.cash,USOIL,42,BUY,[tp 98.137],1,2026-06-03 15:31:02+00:00,2026-06-03 15:31:02+00:00,1,1,5.57,5.57,False
USOIL.cash,USOIL,43,BUY,[sl 96.392],1,2026-06-04 05:21:37+00:00,2026-06-04 05:21:37+00:00,1,1,-5.33,-5.33,False
USOIL.cash,USOIL,44,BUY,[sl 93.353],1,2026-06-02 04:36:43+00:00,2026-06-02 04:36:43+00:00,1,1,-6.03,-6.03,False
USOIL.cash,USOIL,44,BUY,[sl 96.372],1,2026-06-03 16:54:24+00:00,2026-06-03 16:54:24+00:00,1,1,-6.32,-6.32,False
USOIL.cash,USOIL,44,BUY,[sl 96.658],1,2026-06-04 04:30:01+00:00,2026-06-04 04:30:01+00:00,1,1,-6.24,-6.24,False
USOIL.cash,USOIL,54,BUY,[sl 91.189],1,2026-06-01 02:30:42+00:00,2026-06-01 02:30:42+00:00,1,1,-4.93,-4.93,False
USOIL.cash,USOIL,54,BUY,[sl 93.748],1,2026-06-02 02:40:28+00:00,2026-06-02 02:40:28+00:00,1,1,-4.98,-4.98,False
USOIL.cash,USOIL,54,BUY,[sl 94.461],1,2026-06-05 07:05:26+00:00,2026-06-05 07:05:26+00:00,1,1,-4.88,-4.88,False
XAUUSD,XAUUSD,45,BUY,[sl 4445.70],1,2026-06-04 03:38:43+00:00,2026-06-04 03:38:43+00:00,1,1,-103.32000000000001,-103.32000000000001,False
XAUUSD,XAUUSD,45,BUY,[sl 4482.49],1,2026-06-02 03:49:34+00:00,2026-06-02 03:49:34+00:00,1,1,-115.42,-115.42,False
XAUUSD,XAUUSD,58,BUY,[sl 4463.69],1,2026-06-03 08:30:36+00:00,2026-06-03 08:30:36+00:00,1,1,-117.22,-117.22,False
XAUUSD,XAUUSD,58,BUY,[sl 4464.15],1,2026-06-05 02:02:20+00:00,2026-06-05 02:02:20+00:00,1,1,-101.82000000000001,-101.82000000000001,False
XAUUSD,XAUUSD,58,BUY,[sl 4474.88],1,2026-06-03 07:31:58+00:00,2026-06-03 07:31:58+00:00,1,1,-100.42,-100.42,False
XAUUSD,XAUUSD,58,BUY,[tp 4464.03],1,2026-06-04 02:46:06+00:00,2026-06-04 02:46:06+00:00,1,1,101.67999999999999,101.67999999999999,False
XAUUSD,XAUUSD,58,BUY,[tp 4494.71],1,2026-06-02 03:32:02+00:00,2026-06-02 03:32:02+00:00,1,1,106.67999999999999,106.67999999999999,False
XAUUSD,XAUUSD,58,SELL,[sl 4530.19],1,2026-06-01 01:12:43+00:00,2026-06-01 01:12:43+00:00,1,1,-102.44,-102.44,False
