symbol,symbol_norm,magic,direction,comment_last,n,first_close,last_close,position_ids,tickets,pnl_sum,avg_pnl,raw_bad_magic
EURUSD,EURUSD,14,BUY,[sl 1.15894],1,2026-05-22 17:03:22+00:00,2026-05-22 17:03:22+00:00,1,1,-736.6,-736.6,False
EURUSD,EURUSD,14,BUY,[sl 1.16215],1,2026-05-19 12:02:07+00:00,2026-05-19 12:02:07+00:00,1,1,-733.7,-733.7,False
EURUSD,EURUSD,14,BUY,[sl 1.16258],1,2026-05-29 11:55:37+00:00,2026-05-29 11:55:37+00:00,1,1,-574.2,-574.2,False
EURUSD,EURUSD,14,BUY,[sl 1.16310],1,2026-05-26 04:40:45+00:00,2026-05-26 04:40:45+00:00,1,1,-432.1,-432.1,False
EURUSD,EURUSD,14,BUY,[sl 1.17147],1,2026-05-13 10:37:51+00:00,2026-05-13 10:37:51+00:00,1,1,-594.5,-594.5,False
EURUSD,EURUSD,14,BUY,[sl 1.17592],1,2026-05-12 04:40:49+00:00,2026-05-12 04:40:49+00:00,1,1,-519.1,-519.1,False
EURUSD,EURUSD,14,BUY,[tp 1.16413],1,2026-05-18 14:39:33+00:00,2026-05-18 14:39:33+00:00,1,1,382.8,382.8,False
EURUSD,EURUSD,14,BUY,[tp 1.16475],1,2026-05-25 14:39:25+00:00,2026-05-25 14:39:25+00:00,1,1,365.4,365.4,False
EURUSD,EURUSD,14,BUY,[tp 1.16491],1,2026-05-27 15:21:29+00:00,2026-05-27 15:21:29+00:00,1,1,321.9,321.9,False
EURUSD,EURUSD,14,BUY,[tp 1.17747],1,2026-05-11 10:27:12+00:00,2026-05-11 10:27:12+00:00,1,1,420.5,420.5,False
XAUUSD,XAUUSD,45,BUY,[sl 4413.41],1,2026-03-24 10:23:23+00:00,2026-03-24 10:23:23+00:00,1,1,-238.84,-238.84,False
XAUUSD,XAUUSD,45,BUY,[sl 4423.91],1,2026-03-27 06:05:12+00:00,2026-03-27 06:05:12+00:00,1,1,-235.44,-235.44,False
XAUUSD,XAUUSD,45,BUY,[sl 4568.74],1,2026-03-25 15:16:23+00:00,2026-03-25 15:16:23+00:00,1,1,-238.28,-238.28,False
XAUUSD,XAUUSD,45,BUY,[sl 4660.04],1,2026-03-20 01:32:41+00:00,2026-03-20 01:32:41+00:00,1,1,-232.3,-232.3,False
XAUUSD,XAUUSD,45,BUY,[sl 4998.04],1,2026-03-18 10:47:10+00:00,2026-03-18 10:47:10+00:00,1,1,-232.4,-232.4,False
XAUUSD,XAUUSD,45,BUY,[sl 5108.38],1,2026-03-13 06:29:06+00:00,2026-03-13 06:29:06+00:00,1,1,-116.42,-116.42,False
XAUUSD,XAUUSD,45,BUY,[sl 5148.41],1,2026-03-04 03:26:53+00:00,2026-03-04 03:26:53+00:00,1,1,-116.52,-116.52,False
XAUUSD,XAUUSD,45,BUY,[sl 5346.86],1,2026-03-03 02:54:08+00:00,2026-03-03 02:54:08+00:00,1,1,-116.35,-116.35,False
XAUUSD,XAUUSD,45,BUY,[tp 5039.58],1,2026-03-17 07:44:46+00:00,2026-03-17 07:44:46+00:00,1,1,244.59,244.59,False
XAUUSD,XAUUSD,45,BUY,[tp 5130.17],1,2026-03-06 03:50:51+00:00,2026-03-06 03:50:51+00:00,1,1,119.58,119.58,False
XAUUSD,XAUUSD,45,BUY,[tp 5148.68],1,2026-03-10 01:58:59+00:00,2026-03-10 01:58:59+00:00,1,1,116.68,116.68,False
XAUUSD,XAUUSD,45,BUY,[tp 5177.13],1,2026-03-05 02:19:37+00:00,2026-03-05 02:19:37+00:00,1,1,113.38,113.38,False
XAUUSD,XAUUSD,45,BUY,[tp 5181.91],1,2026-03-12 10:45:21+00:00,2026-03-12 10:45:21+00:00,1,1,113.68,113.68,False
XAUUSD,XAUUSD,45,BUY,[tp 5186.09],1,2026-02-25 03:22:15+00:00,2026-02-25 03:22:15+00:00,1,1,114.48,114.48,False
XAUUSD,XAUUSD,45,BUY,[tp 5214.78],1,2026-02-25 19:09:34+00:00,2026-02-25 19:09:34+00:00,1,1,114.77,114.77,False
