position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,AUDJPY,BUY,2021-07-20 12:00:00+00:00,2021-07-20 16:13:40+00:00,80.315,80.015,-27.92,-27.92,6.30.171,DEMO_ACCOUNT,IS
4,AUDJPY,BUY,2021-07-21 04:00:00+00:00,2021-07-21 05:10:40+00:00,80.663,80.363,-27.8,-27.8,6.30.171,DEMO_ACCOUNT,IS
6,AUDJPY,BUY,2021-07-22 08:00:00+00:00,2021-07-22 12:24:40+00:00,81.074,81.374,26.71,26.71,6.30.171,DEMO_ACCOUNT,IS
8,AUDJPY,BUY,2021-07-23 02:00:00+00:00,2021-07-23 23:45:00+00:00,81.432,81.405,-2.94,-2.94,6.30.171,DEMO_ACCOUNT,IS
10,AUDJPY,BUY,2021-07-30 04:00:00+00:00,2021-07-30 17:57:40+00:00,80.938,80.638,-27.84,-27.84,6.30.171,DEMO_ACCOUNT,IS
12,AUDJPY,SELL,2021-08-03 04:15:00+00:00,2021-08-03 05:22:20+00:00,80.506,80.427,6.73,6.73,6.30.171,DEMO_ACCOUNT,IS
14,AUDJPY,BUY,2021-08-05 04:00:00+00:00,2021-08-05 17:14:40+00:00,80.991,81.291,26.84,26.84,6.30.171,DEMO_ACCOUNT,IS
16,AUDJPY,BUY,2021-08-06 12:00:00+00:00,2021-08-06 23:45:00+00:00,81.163,81.069,-9.03,-9.03,6.30.171,DEMO_ACCOUNT,IS
18,AUDJPY,BUY,2021-08-11 16:00:00+00:00,2021-08-11 23:45:00+00:00,81.481,81.426,-5.48,-5.48,6.30.171,DEMO_ACCOUNT,IS
20,AUDJPY,SELL,2021-08-12 12:00:00+00:00,2021-08-12 13:22:40+00:00,81.302,81.236,5.47,5.47,6.30.171,DEMO_ACCOUNT,IS
22,AUDJPY,BUY,2021-08-18 16:00:00+00:00,2021-08-18 23:45:00+00:00,79.641,79.426,-20.09,-20.09,6.30.171,DEMO_ACCOUNT,IS
24,AUDJPY,SELL,2021-08-19 16:00:00+00:00,2021-08-19 21:29:40+00:00,78.642,78.478,14.43,14.43,6.30.171,DEMO_ACCOUNT,IS
26,AUDJPY,BUY,2021-08-24 08:00:00+00:00,2021-08-24 17:29:40+00:00,79.26,79.56,26.88,26.88,6.30.171,DEMO_ACCOUNT,IS
28,AUDJPY,BUY,2021-08-25 12:00:00+00:00,2021-08-25 17:49:40+00:00,79.647,79.947,26.76,26.76,6.30.171,DEMO_ACCOUNT,IS
30,AUDJPY,BUY,2021-08-26 12:00:00+00:00,2021-08-26 17:48:40+00:00,80.069,79.769,-27.74,-27.74,6.30.171,DEMO_ACCOUNT,IS
32,AUDJPY,BUY,2021-08-30 12:00:00+00:00,2021-08-30 23:45:00+00:00,80.147,80.194,3.78,3.78,6.30.171,DEMO_ACCOUNT,IS
34,AUDJPY,BUY,2021-09-02 08:00:00+00:00,2021-09-02 15:52:40+00:00,81.065,81.365,26.76,26.76,6.30.171,DEMO_ACCOUNT,IS
36,AUDJPY,BUY,2021-09-03 08:00:00+00:00,2021-09-03 15:15:40+00:00,81.497,81.797,26.78,26.78,6.30.171,DEMO_ACCOUNT,IS
38,AUDJPY,BUY,2021-09-06 02:00:00+00:00,2021-09-06 23:45:00+00:00,81.786,81.669,-11.15,-11.15,6.30.171,DEMO_ACCOUNT,IS
40,AUDJPY,BUY,2021-09-16 12:00:00+00:00,2021-09-16 23:45:00+00:00,80.044,80.036,-1.23,-1.23,6.30.171,DEMO_ACCOUNT,IS
42,AUDJPY,BUY,2021-09-23 08:00:00+00:00,2021-09-23 11:46:40+00:00,79.661,79.961,26.79,26.79,6.30.171,DEMO_ACCOUNT,IS
44,AUDJPY,BUY,2021-09-28 08:00:00+00:00,2021-09-28 10:22:40+00:00,81.231,80.931,-27.44,-27.44,6.30.171,DEMO_ACCOUNT,IS
46,AUDJPY,BUY,2021-09-29 02:00:00+00:00,2021-09-29 15:36:40+00:00,80.775,80.475,-27.41,-27.41,6.30.171,DEMO_ACCOUNT,IS
48,AUDJPY,BUY,2021-10-04 08:00:00+00:00,2021-10-04 16:31:40+00:00,80.744,81.044,26.5,26.5,6.30.171,DEMO_ACCOUNT,IS
50,AUDJPY,BUY,2021-10-05 02:00:00+00:00,2021-10-05 04:21:40+00:00,80.93,80.63,-27.53,-27.53,6.30.171,DEMO_ACCOUNT,IS
52,AUDJPY,BUY,2021-10-06 04:00:00+00:00,2021-10-06 04:54:20+00:00,81.33,81.03,-27.39,-27.39,6.30.171,DEMO_ACCOUNT,IS
54,AUDJPY,BUY,2021-10-08 16:00:00+00:00,2021-10-08 22:13:40+00:00,81.77,82.07,26.24,26.24,6.30.171,DEMO_ACCOUNT,IS
