position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,AUDUSD,SELL,2021-07-05 01:15:00+00:00,2021-07-05 23:45:00+00:00,0.75277,0.7532,-4.8,-4.8,3.27.109,DEMO_ACCOUNT,IS
4,AUDUSD,SELL,2021-07-06 01:30:00+00:00,2021-07-06 17:18:40+00:00,0.75454,0.7528,16.9,16.9,3.27.109,DEMO_ACCOUNT,IS
6,AUDUSD,SELL,2021-07-07 15:15:00+00:00,2021-07-07 17:04:40+00:00,0.75301,0.75003,29.3,29.3,3.27.109,DEMO_ACCOUNT,IS
8,AUDUSD,SELL,2021-07-09 12:45:00+00:00,2021-07-09 23:45:00+00:00,0.74517,0.74927,-41.5,-41.5,3.27.109,DEMO_ACCOUNT,IS
10,AUDUSD,SELL,2021-07-14 05:30:00+00:00,2021-07-14 11:54:40+00:00,0.74635,0.74392,23.8,23.8,3.27.109,DEMO_ACCOUNT,IS
12,AUDUSD,SELL,2021-07-21 03:30:00+00:00,2021-07-21 04:49:00+00:00,0.73394,0.73205,18.4,18.4,3.27.109,DEMO_ACCOUNT,IS
14,AUDUSD,SELL,2021-07-22 10:15:00+00:00,2021-07-22 23:45:00+00:00,0.73739,0.73823,-8.9,-8.9,3.27.109,DEMO_ACCOUNT,IS
16,AUDUSD,SELL,2021-07-26 16:45:00+00:00,2021-07-26 23:45:00+00:00,0.73773,0.73812,-4.4,-4.4,3.27.109,DEMO_ACCOUNT,IS
18,AUDUSD,SELL,2021-07-28 21:45:00+00:00,2021-07-28 23:45:00+00:00,0.73662,0.73782,-12.5,-12.5,3.27.109,DEMO_ACCOUNT,IS
20,AUDUSD,SELL,2021-07-29 02:30:00+00:00,2021-07-29 23:45:00+00:00,0.7379,0.73934,-14.9,-14.9,3.27.109,DEMO_ACCOUNT,IS
22,AUDUSD,SELL,2021-08-10 10:30:00+00:00,2021-08-10 23:45:00+00:00,0.73396,0.73479,-8.8,-8.8,3.27.109,DEMO_ACCOUNT,IS
24,AUDUSD,SELL,2021-08-13 20:45:00+00:00,2021-08-13 23:45:00+00:00,0.73747,0.73707,3.5,3.5,3.27.109,DEMO_ACCOUNT,IS
26,AUDUSD,SELL,2021-08-20 17:00:00+00:00,2021-08-20 23:45:00+00:00,0.71462,0.71394,6.3,6.3,3.27.109,DEMO_ACCOUNT,IS
28,AUDUSD,SELL,2021-08-23 05:15:00+00:00,2021-08-23 23:45:00+00:00,0.71587,0.72185,-60.3,-60.3,3.27.109,DEMO_ACCOUNT,IS
30,AUDUSD,SELL,2021-08-24 06:15:00+00:00,2021-08-24 23:45:00+00:00,0.72223,0.72576,-35.8,-35.8,3.27.109,DEMO_ACCOUNT,IS
32,AUDUSD,SELL,2021-08-25 12:30:00+00:00,2021-08-25 23:45:30+00:00,0.72606,0.72768,-16.7,-16.7,3.27.109,DEMO_ACCOUNT,IS
34,AUDUSD,SELL,2021-08-27 09:30:00+00:00,2021-08-27 19:05:40+00:00,0.72506,0.73156,-65.5,-65.5,3.27.109,DEMO_ACCOUNT,IS
36,AUDUSD,SELL,2021-09-01 21:15:00+00:00,2021-09-01 23:45:00+00:00,0.73753,0.73706,4.2,4.2,3.27.109,DEMO_ACCOUNT,IS
38,AUDUSD,SELL,2021-09-02 09:00:00+00:00,2021-09-02 23:45:00+00:00,0.73797,0.74008,-21.6,-21.6,3.27.109,DEMO_ACCOUNT,IS
40,AUDUSD,SELL,2021-09-03 08:45:00+00:00,2021-09-03 23:45:00+00:00,0.74185,0.74491,-31.1,-31.1,3.27.109,DEMO_ACCOUNT,IS
42,AUDUSD,SELL,2021-09-08 04:45:00+00:00,2021-09-08 08:15:00+00:00,0.74032,0.7384,18.7,18.7,3.27.109,DEMO_ACCOUNT,IS
44,AUDUSD,SELL,2021-09-09 11:00:00+00:00,2021-09-09 23:45:00+00:00,0.73747,0.73723,1.9,1.9,3.27.109,DEMO_ACCOUNT,IS
46,AUDUSD,SELL,2021-09-17 08:15:00+00:00,2021-09-17 17:24:40+00:00,0.73051,0.72851,19.5,19.5,3.27.109,DEMO_ACCOUNT,IS
48,AUDUSD,SELL,2021-09-20 16:45:00+00:00,2021-09-20 23:45:00+00:00,0.72614,0.72535,7.4,7.4,3.27.109,DEMO_ACCOUNT,IS
50,AUDUSD,SELL,2021-09-22 04:15:00+00:00,2021-09-22 23:45:00+00:00,0.72582,0.72423,15.4,15.4,3.27.109,DEMO_ACCOUNT,IS
52,AUDUSD,SELL,2021-09-23 10:45:00+00:00,2021-09-23 23:45:00+00:00,0.72624,0.7296,-34.1,-34.1,3.27.109,DEMO_ACCOUNT,IS
54,AUDUSD,SELL,2021-09-30 05:30:00+00:00,2021-09-30 23:45:00+00:00,0.71995,0.72324,-33.4,-33.4,3.27.109,DEMO_ACCOUNT,IS
56,AUDUSD,SELL,2021-10-01 18:45:00+00:00,2021-10-01 23:45:00+00:00,0.72721,0.72658,5.8,5.8,3.27.109,DEMO_ACCOUNT,IS
58,AUDUSD,SELL,2021-10-04 01:30:00+00:00,2021-10-04 04:54:40+00:00,0.72817,0.72534,27.8,27.8,3.27.109,DEMO_ACCOUNT,IS
60,AUDUSD,SELL,2021-10-11 04:30:00+00:00,2021-10-11 23:45:00+00:00,0.73226,0.73455,-23.4,-23.4,3.27.109,DEMO_ACCOUNT,IS
62,AUDUSD,SELL,2021-10-12 08:15:00+00:00,2021-10-12 23:45:00+00:00,0.73548,0.73513,3.0,3.0,3.27.109,DEMO_ACCOUNT,IS
64,AUDUSD,SELL,2021-10-14 16:30:00+00:00,2021-10-14 23:45:00+00:00,0.74218,0.74168,4.5,4.5,3.27.109,DEMO_ACCOUNT,IS
