position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURGBP,SELL,2021-07-06 10:15:00+00:00,2021-07-06 23:45:00+00:00,0.85621,0.85674,-7.82,-7.82,6.1.186,DEMO_ACCOUNT,IS
4,EURGBP,SELL,2021-07-09 11:00:00+00:00,2021-07-09 16:45:40+00:00,0.85931,0.85681,34.14,34.14,6.1.186,DEMO_ACCOUNT,IS
6,EURGBP,SELL,2021-07-12 10:45:00+00:00,2021-07-12 23:45:00+00:00,0.85564,0.8543,18.1,18.1,6.1.186,DEMO_ACCOUNT,IS
8,EURGBP,SELL,2021-07-13 09:30:00+00:00,2021-07-13 23:45:00+00:00,0.85438,0.85266,23.26,23.26,6.1.186,DEMO_ACCOUNT,IS
10,EURGBP,SELL,2021-07-14 18:15:00+00:00,2021-07-14 23:45:00+00:00,0.85257,0.85398,-20.05,-20.05,6.1.186,DEMO_ACCOUNT,IS
12,EURGBP,SELL,2021-07-15 10:30:00+00:00,2021-07-15 13:07:40+00:00,0.85589,0.85339,34.18,34.18,6.1.186,DEMO_ACCOUNT,IS
14,EURGBP,SELL,2021-07-20 09:45:00+00:00,2021-07-20 23:45:00+00:00,0.86344,0.86466,-17.12,-17.12,6.1.186,DEMO_ACCOUNT,IS
16,EURGBP,SELL,2021-07-21 05:30:00+00:00,2021-07-21 16:45:40+00:00,0.86495,0.86245,33.66,33.66,6.1.186,DEMO_ACCOUNT,IS
18,EURGBP,SELL,2021-07-22 05:30:00+00:00,2021-07-22 10:22:00+00:00,0.86069,0.85819,33.88,33.88,6.1.186,DEMO_ACCOUNT,IS
20,EURGBP,SELL,2021-07-23 05:15:00+00:00,2021-07-23 23:45:00+00:00,0.85536,0.85667,-18.51,-18.51,6.1.186,DEMO_ACCOUNT,IS
22,EURGBP,SELL,2021-07-27 10:45:00+00:00,2021-07-27 18:00:40+00:00,0.85479,0.85229,34.2,34.2,6.1.186,DEMO_ACCOUNT,IS
24,EURGBP,SELL,2021-07-28 06:45:00+00:00,2021-07-28 23:45:00+00:00,0.85203,0.85239,-5.51,-5.51,6.1.186,DEMO_ACCOUNT,IS
26,EURGBP,SELL,2021-07-29 19:15:00+00:00,2021-07-29 23:45:00+00:00,0.85118,0.85132,-2.45,-2.45,6.1.186,DEMO_ACCOUNT,IS
28,EURGBP,SELL,2021-08-02 13:00:00+00:00,2021-08-02 23:45:00+00:00,0.85461,0.85496,-5.36,-5.36,6.1.186,DEMO_ACCOUNT,IS
30,EURGBP,SELL,2021-08-04 16:00:00+00:00,2021-08-04 23:45:00+00:00,0.85298,0.85224,9.78,9.78,6.1.186,DEMO_ACCOUNT,IS
32,EURGBP,SELL,2021-08-06 09:45:00+00:00,2021-08-06 22:18:00+00:00,0.84973,0.84723,34.2,34.2,6.1.186,DEMO_ACCOUNT,IS
34,EURGBP,SELL,2021-08-09 04:15:00+00:00,2021-08-09 23:45:00+00:00,0.84779,0.8475,3.52,3.52,6.1.186,DEMO_ACCOUNT,IS
36,EURGBP,SELL,2021-08-10 05:00:00+00:00,2021-08-10 23:45:00+00:00,0.84777,0.84685,12.23,12.23,6.1.186,DEMO_ACCOUNT,IS
38,EURGBP,SELL,2021-08-12 08:30:00+00:00,2021-08-12 23:45:00+00:00,0.84679,0.84997,-44.4,-44.4,6.1.186,DEMO_ACCOUNT,IS
40,EURGBP,SELL,2021-08-13 17:15:00+00:00,2021-08-13 23:45:00+00:00,0.85077,0.85067,0.89,0.89,6.1.186,DEMO_ACCOUNT,IS
42,EURGBP,SELL,2021-08-16 03:15:00+00:00,2021-08-16 23:45:00+00:00,0.85095,0.85138,-6.45,-6.45,6.1.186,DEMO_ACCOUNT,IS
44,EURGBP,SELL,2021-08-20 18:15:00+00:00,2021-08-20 23:45:00+00:00,0.85762,0.85937,-24.34,-24.34,6.1.186,DEMO_ACCOUNT,IS
46,EURGBP,SELL,2021-08-23 06:00:00+00:00,2021-08-23 17:18:40+00:00,0.85881,0.85631,33.77,33.77,6.1.186,DEMO_ACCOUNT,IS
48,EURGBP,SELL,2021-08-24 04:00:00+00:00,2021-08-24 23:45:00+00:00,0.8559,0.85637,-6.95,-6.95,6.1.186,DEMO_ACCOUNT,IS
50,EURGBP,SELL,2021-09-06 02:45:00+00:00,2021-09-06 23:45:30+00:00,0.85746,0.85807,-8.94,-8.94,6.1.186,DEMO_ACCOUNT,IS
52,EURGBP,SELL,2021-09-08 02:30:30+00:00,2021-09-08 23:45:00+00:00,0.85944,0.85843,13.41,13.41,6.1.186,DEMO_ACCOUNT,IS
54,EURGBP,SELL,2021-09-10 18:00:00+00:00,2021-09-10 23:45:00+00:00,0.85409,0.85448,-5.89,-5.89,6.1.186,DEMO_ACCOUNT,IS
56,EURGBP,SELL,2021-09-13 01:15:00+00:00,2021-09-13 23:45:00+00:00,0.85377,0.85338,4.9,4.9,6.1.186,DEMO_ACCOUNT,IS
58,EURGBP,SELL,2021-09-16 05:15:00+00:00,2021-09-16 14:02:00+00:00,0.85378,0.85128,34.06,34.06,6.1.186,DEMO_ACCOUNT,IS
60,EURGBP,SELL,2021-09-21 14:45:00+00:00,2021-09-21 23:45:00+00:00,0.85822,0.85885,-9.11,-9.11,6.1.186,DEMO_ACCOUNT,IS
62,EURGBP,SELL,2021-09-24 05:00:00+00:00,2021-09-24 23:45:00+00:00,0.85557,0.8571,-21.42,-21.42,6.1.186,DEMO_ACCOUNT,IS
64,EURGBP,SELL,2021-09-28 10:45:00+00:00,2021-09-28 14:57:40+00:00,0.85429,0.86029,-82.09,-82.09,6.1.186,DEMO_ACCOUNT,IS
