position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,EURUSD,SELL,2021-07-06 03:15:00+00:00,2021-07-06 06:28:40+00:00,1.18659,1.18794,-14.0,-14.0,5.43.181,DEMO_ACCOUNT,IS
4,EURUSD,SELL,2021-07-07 09:30:00+00:00,2021-07-07 16:09:40+00:00,1.18283,1.18151,12.7,12.7,5.43.181,DEMO_ACCOUNT,IS
6,EURUSD,SELL,2021-07-08 10:00:00+00:00,2021-07-08 10:54:40+00:00,1.17972,1.18153,-18.6,-18.6,5.43.181,DEMO_ACCOUNT,IS
8,EURUSD,SELL,2021-07-09 12:15:00+00:00,2021-07-09 12:57:40+00:00,1.18361,1.18578,-22.2,-22.2,5.43.181,DEMO_ACCOUNT,IS
10,EURUSD,SELL,2021-07-12 05:00:00+00:00,2021-07-12 12:54:40+00:00,1.187,1.18584,11.1,11.1,5.43.181,DEMO_ACCOUNT,IS
12,EURUSD,SELL,2021-07-13 04:30:00+00:00,2021-07-13 05:40:40+00:00,1.18637,1.18779,-14.7,-14.7,5.43.181,DEMO_ACCOUNT,IS
14,EURUSD,SELL,2021-07-14 10:30:00+00:00,2021-07-14 14:05:40+00:00,1.17921,1.18084,-16.8,-16.8,5.43.181,DEMO_ACCOUNT,IS
16,EURUSD,SELL,2021-07-15 08:15:00+00:00,2021-07-15 08:49:40+00:00,1.18338,1.1848,-14.7,-14.7,5.43.181,DEMO_ACCOUNT,IS
18,EURUSD,SELL,2021-07-16 03:45:00+00:00,2021-07-16 10:32:40+00:00,1.18138,1.18026,10.7,10.7,5.43.181,DEMO_ACCOUNT,IS
20,EURUSD,SELL,2021-07-19 03:30:00+00:00,2021-07-19 10:06:40+00:00,1.18071,1.17952,11.4,11.4,5.43.181,DEMO_ACCOUNT,IS
22,EURUSD,SELL,2021-07-20 04:30:00+00:00,2021-07-20 08:53:00+00:00,1.17965,1.17835,12.5,12.5,5.43.181,DEMO_ACCOUNT,IS
24,EURUSD,SELL,2021-07-21 02:30:00+00:00,2021-07-21 09:20:40+00:00,1.17801,1.17669,12.7,12.7,5.43.181,DEMO_ACCOUNT,IS
26,EURUSD,SELL,2021-07-22 02:00:00+00:00,2021-07-22 14:47:40+00:00,1.17929,1.18113,-18.9,-18.9,5.43.181,DEMO_ACCOUNT,IS
28,EURUSD,SELL,2021-07-23 10:45:00+00:00,2021-07-23 11:15:40+00:00,1.17701,1.17886,-19.0,-19.0,5.43.181,DEMO_ACCOUNT,IS
30,EURUSD,SELL,2021-07-26 11:15:00+00:00,2021-07-26 11:56:40+00:00,1.17703,1.17909,-21.1,-21.1,5.43.181,DEMO_ACCOUNT,IS
32,EURUSD,SELL,2021-07-27 06:30:00+00:00,2021-07-27 10:00:40+00:00,1.18031,1.17927,9.9,9.9,5.43.181,DEMO_ACCOUNT,IS
34,EURUSD,SELL,2021-07-28 02:00:00+00:00,2021-07-28 11:59:40+00:00,1.18166,1.1834,-17.9,-17.9,5.43.181,DEMO_ACCOUNT,IS
36,EURUSD,SELL,2021-07-29 09:45:00+00:00,2021-07-29 10:12:40+00:00,1.1853,1.1872,-19.5,-19.5,5.43.181,DEMO_ACCOUNT,IS
38,EURUSD,SELL,2021-07-30 03:15:00+00:00,2021-07-30 07:13:00+00:00,1.18892,1.18785,10.2,10.2,5.43.181,DEMO_ACCOUNT,IS
40,EURUSD,SELL,2021-08-02 10:00:00+00:00,2021-08-02 13:00:40+00:00,1.18829,1.19011,-18.7,-18.7,5.43.181,DEMO_ACCOUNT,IS
42,EURUSD,SELL,2021-08-03 11:30:00+00:00,2021-08-03 13:46:40+00:00,1.18795,1.18964,-17.4,-17.4,5.43.181,DEMO_ACCOUNT,IS
44,EURUSD,SELL,2021-08-04 07:30:00+00:00,2021-08-04 09:56:40+00:00,1.18697,1.18833,-14.1,-14.1,5.43.181,DEMO_ACCOUNT,IS
46,EURUSD,SELL,2021-08-05 09:30:00+00:00,2021-08-05 10:28:40+00:00,1.18368,1.18495,-13.2,-13.2,5.43.181,DEMO_ACCOUNT,IS
48,EURUSD,SELL,2021-08-06 10:30:00+00:00,2021-08-06 11:38:40+00:00,1.1825,1.18146,9.9,9.9,5.43.181,DEMO_ACCOUNT,IS
50,EURUSD,SELL,2021-08-09 09:15:00+00:00,2021-08-09 17:57:40+00:00,1.17626,1.1751,11.1,11.1,5.43.181,DEMO_ACCOUNT,IS
52,EURUSD,SELL,2021-08-11 06:45:00+00:00,2021-08-11 09:44:20+00:00,1.17207,1.17125,7.7,7.7,5.43.181,DEMO_ACCOUNT,IS
54,EURUSD,SELL,2021-08-12 02:30:00+00:00,2021-08-12 16:42:40+00:00,1.17411,1.17302,10.4,10.4,5.43.181,DEMO_ACCOUNT,IS
56,EURUSD,SELL,2021-08-13 06:45:00+00:00,2021-08-13 12:38:40+00:00,1.17402,1.17512,-11.5,-11.5,5.43.181,DEMO_ACCOUNT,IS
58,EURUSD,SELL,2021-08-16 05:45:00+00:00,2021-08-16 10:52:40+00:00,1.17962,1.17868,8.9,8.9,5.43.181,DEMO_ACCOUNT,IS
60,EURUSD,SELL,2021-08-17 12:30:00+00:00,2021-08-17 15:49:40+00:00,1.17678,1.1754,13.3,13.3,5.43.181,DEMO_ACCOUNT,IS
62,EURUSD,SELL,2021-08-18 11:30:00+00:00,2021-08-18 18:16:40+00:00,1.17218,1.17092,12.1,12.1,5.43.181,DEMO_ACCOUNT,IS
64,EURUSD,SELL,2021-08-19 17:30:00+00:00,2021-08-19 23:09:30+00:00,1.16959,1.16768,18.6,18.6,5.43.181,DEMO_ACCOUNT,IS
66,EURUSD,SELL,2021-08-20 08:30:00+00:00,2021-08-20 14:43:40+00:00,1.16851,1.16753,9.3,9.3,5.43.181,DEMO_ACCOUNT,IS
68,EURUSD,SELL,2021-08-23 12:45:00+00:00,2021-08-23 16:28:40+00:00,1.1724,1.17447,-21.2,-21.2,5.43.181,DEMO_ACCOUNT,IS
70,EURUSD,SELL,2021-08-24 10:00:00+00:00,2021-08-24 15:42:40+00:00,1.17396,1.17528,-13.7,-13.7,5.43.181,DEMO_ACCOUNT,IS
72,EURUSD,SELL,2021-08-25 11:15:00+00:00,2021-08-25 11:37:40+00:00,1.17455,1.17625,-17.5,-17.5,5.43.181,DEMO_ACCOUNT,IS
74,EURUSD,SELL,2021-08-26 11:30:00+00:00,2021-08-26 13:01:40+00:00,1.17602,1.17772,-17.5,-17.5,5.43.181,DEMO_ACCOUNT,IS
76,EURUSD,SELL,2021-08-27 10:45:00+00:00,2021-08-27 16:06:40+00:00,1.17601,1.17491,10.5,10.5,5.43.181,DEMO_ACCOUNT,IS
78,EURUSD,SELL,2021-08-30 11:30:00+00:00,2021-08-30 15:58:40+00:00,1.18039,1.17908,12.6,12.6,5.43.181,DEMO_ACCOUNT,IS
80,EURUSD,SELL,2021-08-31 10:45:00+00:00,2021-08-31 13:46:20+00:00,1.18253,1.18396,-14.8,-14.8,5.43.181,DEMO_ACCOUNT,IS
82,EURUSD,SELL,2021-09-01 03:00:00+00:00,2021-09-01 13:02:20+00:00,1.18099,1.18252,-15.8,-15.8,5.43.181,DEMO_ACCOUNT,IS
84,EURUSD,SELL,2021-09-02 03:45:00+00:00,2021-09-02 10:32:40+00:00,1.18403,1.18537,-13.9,-13.9,5.43.181,DEMO_ACCOUNT,IS
86,EURUSD,SELL,2021-09-03 09:30:00+00:00,2021-09-03 10:01:40+00:00,1.18753,1.18861,-11.3,-11.3,5.43.181,DEMO_ACCOUNT,IS
88,EURUSD,SELL,2021-09-06 03:30:00+00:00,2021-09-06 10:28:20+00:00,1.1879,1.18662,12.3,12.3,5.43.181,DEMO_ACCOUNT,IS
90,EURUSD,SELL,2021-09-09 10:15:00+00:00,2021-09-09 11:13:40+00:00,1.18184,1.18331,-15.2,-15.2,5.43.181,DEMO_ACCOUNT,IS
92,EURUSD,SELL,2021-09-10 03:15:00+00:00,2021-09-10 10:16:40+00:00,1.18269,1.18416,-15.2,-15.2,5.43.181,DEMO_ACCOUNT,IS
94,EURUSD,SELL,2021-09-14 17:00:00+00:00,2021-09-14 22:27:40+00:00,1.18274,1.18078,19.1,19.1,5.43.181,DEMO_ACCOUNT,IS
96,EURUSD,SELL,2021-09-15 07:15:00+00:00,2021-09-15 10:53:40+00:00,1.18088,1.1823,-14.7,-14.7,5.43.181,DEMO_ACCOUNT,IS
98,EURUSD,SELL,2021-09-16 06:30:00+00:00,2021-09-16 09:00:20+00:00,1.18161,1.18071,8.5,8.5,5.43.181,DEMO_ACCOUNT,IS
100,EURUSD,SELL,2021-09-17 15:30:00+00:00,2021-09-17 16:26:40+00:00,1.17808,1.17648,15.5,15.5,5.43.181,DEMO_ACCOUNT,IS
102,EURUSD,SELL,2021-09-21 04:45:00+00:00,2021-09-21 04:59:20+00:00,1.17291,1.17442,-15.6,-15.6,5.43.181,DEMO_ACCOUNT,IS
104,EURUSD,SELL,2021-09-22 06:00:00+00:00,2021-09-22 10:31:40+00:00,1.17249,1.17388,-14.4,-14.4,5.43.181,DEMO_ACCOUNT,IS
106,EURUSD,SELL,2021-09-23 13:15:00+00:00,2021-09-23 16:45:40+00:00,1.1717,1.17414,-24.9,-24.9,5.43.181,DEMO_ACCOUNT,IS
108,EURUSD,SELL,2021-09-24 03:15:00+00:00,2021-09-24 14:12:40+00:00,1.17449,1.17328,11.6,11.6,5.43.181,DEMO_ACCOUNT,IS
110,EURUSD,SELL,2021-09-27 01:30:00+00:00,2021-09-27 10:45:40+00:00,1.17204,1.17063,13.6,13.6,5.43.181,DEMO_ACCOUNT,IS
112,EURUSD,SELL,2021-09-29 02:45:00+00:00,2021-09-29 10:06:40+00:00,1.16842,1.16704,13.3,13.3,5.43.181,DEMO_ACCOUNT,IS
114,EURUSD,SELL,2021-09-30 10:30:00+00:00,2021-09-30 13:25:40+00:00,1.16052,1.159,14.7,14.7,5.43.181,DEMO_ACCOUNT,IS
116,EURUSD,SELL,2021-10-01 13:00:00+00:00,2021-10-01 14:35:40+00:00,1.15792,1.15985,-19.8,-19.8,5.43.181,DEMO_ACCOUNT,IS
118,EURUSD,SELL,2021-10-04 01:15:00+00:00,2021-10-04 06:37:40+00:00,1.16049,1.15898,14.6,14.6,5.43.181,DEMO_ACCOUNT,IS
120,EURUSD,SELL,2021-10-05 15:15:00+00:00,2021-10-05 16:08:40+00:00,1.16018,1.15876,13.7,13.7,5.43.181,DEMO_ACCOUNT,IS
122,EURUSD,SELL,2021-10-07 02:15:00+00:00,2021-10-07 14:39:20+00:00,1.15539,1.15719,-18.5,-18.5,5.43.181,DEMO_ACCOUNT,IS
124,EURUSD,SELL,2021-10-08 03:30:00+00:00,2021-10-08 08:57:40+00:00,1.15559,1.1545,10.4,10.4,5.43.181,DEMO_ACCOUNT,IS
126,EURUSD,SELL,2021-10-11 01:45:00+00:00,2021-10-11 12:15:40+00:00,1.15706,1.15573,12.8,12.8,5.43.181,DEMO_ACCOUNT,IS
128,EURUSD,SELL,2021-10-12 08:00:00+00:00,2021-10-12 09:38:40+00:00,1.15562,1.15676,-11.9,-11.9,5.43.181,DEMO_ACCOUNT,IS
130,EURUSD,SELL,2021-10-13 12:30:00+00:00,2021-10-13 15:34:40+00:00,1.15547,1.15435,10.7,10.7,5.43.181,DEMO_ACCOUNT,IS
132,EURUSD,SELL,2021-10-14 15:15:00+00:00,2021-10-14 17:44:40+00:00,1.16018,1.15874,13.9,13.9,5.43.181,DEMO_ACCOUNT,IS
134,EURUSD,SELL,2021-10-15 11:00:00+00:00,2021-10-15 11:57:40+00:00,1.16119,1.16009,10.5,10.5,5.43.181,DEMO_ACCOUNT,IS
136,EURUSD,SELL,2021-10-18 02:00:00+00:00,2021-10-18 03:53:40+00:00,1.15997,1.15858,13.4,13.4,5.43.181,DEMO_ACCOUNT,IS
138,EURUSD,SELL,2021-10-20 05:30:00+00:00,2021-10-20 08:08:40+00:00,1.16361,1.16523,-16.7,-16.7,5.43.181,DEMO_ACCOUNT,IS
140,EURUSD,SELL,2021-10-21 03:15:00+00:00,2021-10-21 10:04:40+00:00,1.16536,1.16425,10.6,10.6,5.43.181,DEMO_ACCOUNT,IS
142,EURUSD,SELL,2021-10-22 14:45:00+00:00,2021-10-22 15:01:40+00:00,1.16401,1.16279,11.7,11.7,5.43.181,DEMO_ACCOUNT,IS
144,EURUSD,SELL,2021-10-25 04:45:00+00:00,2021-10-25 06:19:40+00:00,1.1643,1.16603,-17.8,-17.8,5.43.181,DEMO_ACCOUNT,IS
146,EURUSD,SELL,2021-10-27 10:45:00+00:00,2021-10-27 11:30:40+00:00,1.1608,1.15964,11.1,11.1,5.43.181,DEMO_ACCOUNT,IS
148,EURUSD,SELL,2021-11-01 13:15:00+00:00,2021-11-01 18:42:40+00:00,1.15703,1.15931,-23.3,-23.3,5.43.181,DEMO_ACCOUNT,IS
150,EURUSD,SELL,2021-11-02 06:30:00+00:00,2021-11-02 10:50:40+00:00,1.15991,1.16128,-14.2,-14.2,5.43.181,DEMO_ACCOUNT,IS
152,EURUSD,SELL,2021-11-03 09:00:00+00:00,2021-11-03 16:15:40+00:00,1.15854,1.15757,9.2,9.2,5.43.181,DEMO_ACCOUNT,IS
154,EURUSD,SELL,2021-11-05 11:30:00+00:00,2021-11-05 12:07:40+00:00,1.15553,1.15433,11.5,11.5,5.43.181,DEMO_ACCOUNT,IS
156,EURUSD,SELL,2021-11-08 02:30:00+00:00,2021-11-08 17:14:40+00:00,1.15656,1.15878,-22.7,-22.7,5.43.181,DEMO_ACCOUNT,IS
158,EURUSD,SELL,2021-11-09 02:45:00+00:00,2021-11-09 06:45:40+00:00,1.1582,1.1598,-16.5,-16.5,5.43.181,DEMO_ACCOUNT,IS
160,EURUSD,SELL,2021-11-12 10:30:00+00:00,2021-11-12 16:31:40+00:00,1.14467,1.14349,11.3,11.3,5.43.181,DEMO_ACCOUNT,IS
162,EURUSD,SELL,2021-11-15 03:30:00+00:00,2021-11-15 04:00:40+00:00,1.14463,1.14612,-15.4,-15.4,5.43.181,DEMO_ACCOUNT,IS
164,EURUSD,SELL,2021-11-17 11:45:00+00:00,2021-11-17 17:46:40+00:00,1.13171,1.12946,22.0,22.0,5.43.181,DEMO_ACCOUNT,IS
166,EURUSD,SELL,2021-11-18 03:30:00+00:00,2021-11-18 17:21:40+00:00,1.1328,1.13515,-24.0,-24.0,5.43.181,DEMO_ACCOUNT,IS
168,EURUSD,SELL,2021-11-23 12:00:00+00:00,2021-11-23 14:43:40+00:00,1.12591,1.1238,20.6,20.6,5.43.181,DEMO_ACCOUNT,IS
170,EURUSD,SELL,2021-11-24 08:15:00+00:00,2021-11-24 10:56:40+00:00,1.12433,1.12303,12.5,12.5,5.43.181,DEMO_ACCOUNT,IS
172,EURUSD,SELL,2021-11-25 04:15:00+00:00,2021-11-25 12:15:40+00:00,1.12095,1.12285,-19.5,-19.5,5.43.181,DEMO_ACCOUNT,IS
174,EURUSD,SELL,2021-11-26 04:30:00+00:00,2021-11-26 08:52:40+00:00,1.12142,1.12315,-17.8,-17.8,5.43.181,DEMO_ACCOUNT,IS
176,EURUSD,SELL,2021-11-29 14:45:00+00:00,2021-11-29 15:56:40+00:00,1.1285,1.12662,18.3,18.3,5.43.181,DEMO_ACCOUNT,IS
178,EURUSD,SELL,2021-12-01 09:15:00+00:00,2021-12-01 10:01:40+00:00,1.13287,1.13533,-25.1,-25.1,5.43.181,DEMO_ACCOUNT,IS
180,EURUSD,SELL,2021-12-02 17:15:00+00:00,2021-12-02 17:51:40+00:00,1.13371,1.13171,19.5,19.5,5.43.181,DEMO_ACCOUNT,IS
182,EURUSD,SELL,2021-12-03 14:00:00+00:00,2021-12-03 15:03:40+00:00,1.13085,1.12907,17.3,17.3,5.43.181,DEMO_ACCOUNT,IS
184,EURUSD,SELL,2021-12-06 16:45:00+00:00,2021-12-06 17:53:40+00:00,1.1288,1.12674,20.1,20.1,5.43.181,DEMO_ACCOUNT,IS
186,EURUSD,SELL,2021-12-07 09:30:00+00:00,2021-12-07 10:49:40+00:00,1.12926,1.12816,10.5,10.5,5.43.181,DEMO_ACCOUNT,IS
188,EURUSD,SELL,2021-12-09 07:30:00+00:00,2021-12-09 09:42:40+00:00,1.1332,1.13201,11.4,11.4,5.43.181,DEMO_ACCOUNT,IS
190,EURUSD,SELL,2021-12-10 08:15:00+00:00,2021-12-10 09:20:40+00:00,1.12982,1.12874,10.3,10.3,5.43.181,DEMO_ACCOUNT,IS
192,EURUSD,SELL,2021-12-13 02:15:00+00:00,2021-12-13 04:56:40+00:00,1.13139,1.12968,16.6,16.6,5.43.181,DEMO_ACCOUNT,IS
194,EURUSD,SELL,2021-12-15 09:45:00+00:00,2021-12-15 15:28:40+00:00,1.12686,1.12576,10.5,10.5,5.43.181,DEMO_ACCOUNT,IS
196,EURUSD,SELL,2021-12-16 04:45:00+00:00,2021-12-16 10:49:40+00:00,1.12868,1.13133,-27.0,-27.0,5.43.181,DEMO_ACCOUNT,IS
198,EURUSD,SELL,2021-12-17 12:30:00+00:00,2021-12-17 15:56:40+00:00,1.1328,1.13108,16.7,16.7,5.43.181,DEMO_ACCOUNT,IS
200,EURUSD,SELL,2021-12-20 09:30:00+00:00,2021-12-20 10:51:40+00:00,1.12513,1.12696,-18.8,-18.8,5.43.181,DEMO_ACCOUNT,IS
202,EURUSD,SELL,2021-12-21 01:15:00+00:00,2021-12-21 10:25:20+00:00,1.12777,1.12982,-21.0,-21.0,5.43.181,DEMO_ACCOUNT,IS
204,EURUSD,SELL,2021-12-22 04:15:00+00:00,2021-12-22 08:07:40+00:00,1.12819,1.1267,14.4,14.4,5.43.181,DEMO_ACCOUNT,IS
206,EURUSD,SELL,2021-12-23 13:45:00+00:00,2021-12-23 14:28:40+00:00,1.13228,1.13076,14.7,14.7,5.43.181,DEMO_ACCOUNT,IS
208,EURUSD,SELL,2021-12-24 02:15:00+00:00,2021-12-24 17:58:40+00:00,1.13263,1.13103,15.5,15.5,5.43.181,DEMO_ACCOUNT,IS
210,EURUSD,SELL,2021-12-27 02:30:00+00:00,2021-12-27 11:06:40+00:00,1.1321,1.13033,17.2,17.2,5.43.181,DEMO_ACCOUNT,IS
212,EURUSD,SELL,2021-12-28 03:00:00+00:00,2021-12-28 03:54:40+00:00,1.13306,1.13201,10.0,10.0,5.43.181,DEMO_ACCOUNT,IS
214,EURUSD,SELL,2021-12-29 03:15:00+00:00,2021-12-29 10:13:40+00:00,1.13079,1.12948,12.6,12.6,5.43.181,DEMO_ACCOUNT,IS
216,EURUSD,SELL,2021-12-30 02:30:00+00:00,2021-12-30 06:00:40+00:00,1.13528,1.13368,15.5,15.5,5.43.181,DEMO_ACCOUNT,IS
218,EURUSD,SELL,2021-12-31 03:30:00+00:00,2021-12-31 09:35:40+00:00,1.13239,1.13081,15.3,15.3,5.43.181,DEMO_ACCOUNT,IS
220,EURUSD,SELL,2022-01-03 11:45:00+00:00,2022-01-03 16:29:40+00:00,1.13468,1.13255,20.8,20.8,5.43.181,DEMO_ACCOUNT,IS
222,EURUSD,SELL,2022-01-04 18:45:00+00:00,2022-01-04 23:45:00+00:00,1.12909,1.12819,8.5,8.5,5.43.181,DEMO_ACCOUNT,IS
224,EURUSD,SELL,2022-01-05 06:30:00+00:00,2022-01-05 10:13:40+00:00,1.12899,1.13076,-18.2,-18.2,5.43.181,DEMO_ACCOUNT,IS
226,EURUSD,SELL,2022-01-06 13:45:00+00:00,2022-01-06 18:04:40+00:00,1.13154,1.12925,22.4,22.4,5.43.181,DEMO_ACCOUNT,IS
228,EURUSD,SELL,2022-01-11 08:15:00+00:00,2022-01-11 11:48:40+00:00,1.13419,1.13302,11.2,11.2,5.43.181,DEMO_ACCOUNT,IS
230,EURUSD,SELL,2022-01-13 12:45:00+00:00,2022-01-13 23:45:00+00:00,1.14614,1.14548,6.1,6.1,5.43.181,DEMO_ACCOUNT,IS
232,EURUSD,SELL,2022-01-17 11:45:00+00:00,2022-01-17 14:54:40+00:00,1.14196,1.14045,14.6,14.6,5.43.181,DEMO_ACCOUNT,IS
234,EURUSD,SELL,2022-01-19 09:30:00+00:00,2022-01-19 18:27:40+00:00,1.13388,1.13569,-18.6,-18.6,5.43.181,DEMO_ACCOUNT,IS
236,EURUSD,SELL,2022-01-20 16:45:00+00:00,2022-01-20 20:05:40+00:00,1.13442,1.13256,18.1,18.1,5.43.181,DEMO_ACCOUNT,IS
238,EURUSD,SELL,2022-01-21 10:15:00+00:00,2022-01-21 16:16:40+00:00,1.13332,1.13528,-20.1,-20.1,5.43.181,DEMO_ACCOUNT,IS
240,EURUSD,SELL,2022-01-28 17:30:00+00:00,2022-01-28 23:45:00+00:00,1.11435,1.11506,-7.6,-7.6,5.43.181,DEMO_ACCOUNT,IS
242,EURUSD,SELL,2022-02-01 13:00:00+00:00,2022-02-01 18:42:40+00:00,1.12622,1.12423,19.4,19.4,5.43.181,DEMO_ACCOUNT,IS
244,EURUSD,SELL,2022-02-02 08:00:00+00:00,2022-02-02 10:04:40+00:00,1.12725,1.12864,-14.4,-14.4,5.43.181,DEMO_ACCOUNT,IS
246,EURUSD,SELL,2022-02-03 15:45:00+00:00,2022-02-03 16:00:40+00:00,1.13354,1.13719,-37.0,-37.0,5.43.181,DEMO_ACCOUNT,IS
248,EURUSD,SELL,2022-02-04 10:30:00+00:00,2022-02-04 13:54:40+00:00,1.14489,1.1478,-29.6,-29.6,5.43.181,DEMO_ACCOUNT,IS
250,EURUSD,SELL,2022-02-07 01:45:00+00:00,2022-02-07 04:22:40+00:00,1.14557,1.14338,21.4,21.4,5.43.181,DEMO_ACCOUNT,IS
