position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,GBPUSD,SELL,2021-07-06 04:30:00+00:00,2021-07-06 05:04:40+00:00,1.38586,1.38815,-23.4,-23.4,6.52.179,DEMO_ACCOUNT,IS
4,GBPUSD,SELL,2021-07-12 03:15:00+00:00,2021-07-12 11:51:40+00:00,1.39004,1.38669,33.0,33.0,6.52.179,DEMO_ACCOUNT,IS
6,GBPUSD,SELL,2021-07-13 03:15:00+00:00,2021-07-13 10:52:40+00:00,1.3893,1.38695,23.0,23.0,6.52.179,DEMO_ACCOUNT,IS
8,GBPUSD,SELL,2021-07-15 13:15:00+00:00,2021-07-15 20:41:40+00:00,1.38855,1.38153,69.7,69.7,6.52.179,DEMO_ACCOUNT,IS
10,GBPUSD,SELL,2021-07-16 11:30:00+00:00,2021-07-16 17:11:40+00:00,1.38488,1.37933,55.0,55.0,6.52.179,DEMO_ACCOUNT,IS
12,GBPUSD,SELL,2021-07-21 03:00:00+00:00,2021-07-21 09:09:40+00:00,1.36341,1.36035,30.1,30.1,6.52.179,DEMO_ACCOUNT,IS
14,GBPUSD,SELL,2021-07-22 07:30:00+00:00,2021-07-22 09:48:40+00:00,1.37158,1.37402,-24.9,-24.9,6.52.179,DEMO_ACCOUNT,IS
16,GBPUSD,SELL,2021-07-23 03:30:00+00:00,2021-07-23 09:58:00+00:00,1.37796,1.37495,29.6,29.6,6.52.179,DEMO_ACCOUNT,IS
18,GBPUSD,SELL,2021-07-26 01:30:00+00:00,2021-07-26 12:26:40+00:00,1.37613,1.37894,-28.6,-28.6,6.52.179,DEMO_ACCOUNT,IS
20,GBPUSD,SELL,2021-07-27 03:30:00+00:00,2021-07-27 10:06:40+00:00,1.38304,1.38069,23.0,23.0,6.52.179,DEMO_ACCOUNT,IS
22,GBPUSD,SELL,2021-07-28 10:15:00+00:00,2021-07-28 16:50:40+00:00,1.38919,1.38545,36.9,36.9,6.52.179,DEMO_ACCOUNT,IS
24,GBPUSD,SELL,2021-07-29 04:45:00+00:00,2021-07-29 08:28:00+00:00,1.39108,1.39383,-28.0,-28.0,6.52.179,DEMO_ACCOUNT,IS
26,GBPUSD,SELL,2021-07-30 10:30:00+00:00,2021-07-30 17:21:40+00:00,1.39657,1.39335,31.7,31.7,6.52.179,DEMO_ACCOUNT,IS
28,GBPUSD,SELL,2021-08-11 15:15:00+00:00,2021-08-11 15:30:40+00:00,1.38363,1.38598,-24.0,-24.0,6.52.179,DEMO_ACCOUNT,IS
30,GBPUSD,SELL,2021-08-12 07:00:00+00:00,2021-08-12 13:46:40+00:00,1.38745,1.38532,20.8,20.8,6.52.179,DEMO_ACCOUNT,IS
32,GBPUSD,SELL,2021-08-13 14:45:00+00:00,2021-08-13 16:44:40+00:00,1.3823,1.38448,-22.3,-22.3,6.52.179,DEMO_ACCOUNT,IS
34,GBPUSD,SELL,2021-08-16 11:30:00+00:00,2021-08-16 23:45:00+00:00,1.38654,1.3845,19.9,19.9,6.52.179,DEMO_ACCOUNT,IS
36,GBPUSD,SELL,2021-08-20 17:00:00+00:00,2021-08-20 23:45:00+00:00,1.36297,1.36241,5.1,5.1,6.52.179,DEMO_ACCOUNT,IS
38,GBPUSD,SELL,2021-08-23 09:15:00+00:00,2021-08-23 13:04:20+00:00,1.36562,1.36792,-23.5,-23.5,6.52.179,DEMO_ACCOUNT,IS
40,GBPUSD,SELL,2021-08-24 08:15:00+00:00,2021-08-24 11:15:40+00:00,1.37378,1.37146,22.7,22.7,6.52.179,DEMO_ACCOUNT,IS
42,GBPUSD,SELL,2021-08-25 11:15:00+00:00,2021-08-25 20:44:40+00:00,1.37295,1.37524,-23.4,-23.4,6.52.179,DEMO_ACCOUNT,IS
44,GBPUSD,SELL,2021-08-30 05:45:00+00:00,2021-08-30 15:59:40+00:00,1.37718,1.3745,26.3,26.3,6.52.179,DEMO_ACCOUNT,IS
46,GBPUSD,SELL,2021-08-31 06:15:00+00:00,2021-08-31 08:01:40+00:00,1.3769,1.37875,-19.0,-19.0,6.52.179,DEMO_ACCOUNT,IS
48,GBPUSD,SELL,2021-09-02 05:45:00+00:00,2021-09-02 10:43:20+00:00,1.3777,1.37955,-19.0,-19.0,6.52.179,DEMO_ACCOUNT,IS
50,GBPUSD,SELL,2021-09-03 03:15:00+00:00,2021-09-03 13:49:00+00:00,1.38413,1.38215,19.3,19.3,6.52.179,DEMO_ACCOUNT,IS
52,GBPUSD,SELL,2021-09-08 19:30:00+00:00,2021-09-08 23:45:00+00:00,1.37814,1.37794,1.5,1.5,6.52.179,DEMO_ACCOUNT,IS
54,GBPUSD,SELL,2021-09-09 09:45:00+00:00,2021-09-09 10:53:40+00:00,1.37743,1.37943,-20.5,-20.5,6.52.179,DEMO_ACCOUNT,IS
56,GBPUSD,SELL,2021-09-10 05:30:00+00:00,2021-09-10 10:02:40+00:00,1.38469,1.38685,-22.1,-22.1,6.52.179,DEMO_ACCOUNT,IS
58,GBPUSD,SELL,2021-09-13 15:15:00+00:00,2021-09-13 23:45:00+00:00,1.38383,1.384,-2.2,-2.2,6.52.179,DEMO_ACCOUNT,IS
60,GBPUSD,SELL,2021-09-14 03:30:00+00:00,2021-09-14 09:54:20+00:00,1.38398,1.38598,-20.5,-20.5,6.52.179,DEMO_ACCOUNT,IS
62,GBPUSD,SELL,2021-09-16 01:30:00+00:00,2021-09-16 12:09:40+00:00,1.38471,1.38159,30.7,30.7,6.52.179,DEMO_ACCOUNT,IS
64,GBPUSD,SELL,2021-09-17 02:00:00+00:00,2021-09-17 17:13:40+00:00,1.37984,1.37657,32.2,32.2,6.52.179,DEMO_ACCOUNT,IS
66,GBPUSD,SELL,2021-09-22 18:30:00+00:00,2021-09-22 21:15:40+00:00,1.36588,1.36943,-36.0,-36.0,6.52.179,DEMO_ACCOUNT,IS
68,GBPUSD,SELL,2021-09-27 10:30:00+00:00,2021-09-27 11:51:40+00:00,1.36863,1.37142,-28.4,-28.4,6.52.179,DEMO_ACCOUNT,IS
70,GBPUSD,SELL,2021-09-28 07:30:00+00:00,2021-09-28 10:10:40+00:00,1.37074,1.36835,23.4,23.4,6.52.179,DEMO_ACCOUNT,IS
72,GBPUSD,SELL,2021-10-01 11:30:00+00:00,2021-10-01 12:35:40+00:00,1.34626,1.34994,-37.3,-37.3,6.52.179,DEMO_ACCOUNT,IS
74,GBPUSD,SELL,2021-10-04 03:15:00+00:00,2021-10-04 04:54:40+00:00,1.35756,1.35356,39.5,39.5,6.52.179,DEMO_ACCOUNT,IS
76,GBPUSD,SELL,2021-10-05 10:30:00+00:00,2021-10-05 14:29:40+00:00,1.3612,1.36409,-29.4,-29.4,6.52.179,DEMO_ACCOUNT,IS
78,GBPUSD,SELL,2021-10-07 02:45:00+00:00,2021-10-07 14:42:40+00:00,1.35898,1.36179,-28.6,-28.6,6.52.179,DEMO_ACCOUNT,IS
80,GBPUSD,SELL,2021-10-08 12:45:00+00:00,2021-10-08 15:30:40+00:00,1.36156,1.36436,-28.5,-28.5,6.52.179,DEMO_ACCOUNT,IS
82,GBPUSD,SELL,2021-10-11 03:15:00+00:00,2021-10-11 09:32:40+00:00,1.36335,1.36651,-32.1,-32.1,6.52.179,DEMO_ACCOUNT,IS
84,GBPUSD,SELL,2021-10-13 19:15:00+00:00,2021-10-13 23:45:00+00:00,1.36478,1.36606,-13.3,-13.3,6.52.179,DEMO_ACCOUNT,IS
86,GBPUSD,SELL,2021-10-14 01:15:00+00:00,2021-10-14 10:16:40+00:00,1.3665,1.36978,-33.3,-33.3,6.52.179,DEMO_ACCOUNT,IS
88,GBPUSD,SELL,2021-10-19 08:45:00+00:00,2021-10-19 12:50:40+00:00,1.37781,1.37993,-21.7,-21.7,6.52.179,DEMO_ACCOUNT,IS
90,GBPUSD,SELL,2021-10-20 17:15:00+00:00,2021-10-20 19:59:20+00:00,1.37949,1.38303,-35.9,-35.9,6.52.179,DEMO_ACCOUNT,IS
92,GBPUSD,SELL,2021-10-21 06:30:00+00:00,2021-10-21 09:31:40+00:00,1.38318,1.38053,26.0,26.0,6.52.179,DEMO_ACCOUNT,IS
94,GBPUSD,SELL,2021-10-27 19:30:00+00:00,2021-10-27 23:45:00+00:00,1.37478,1.3739,8.3,8.3,6.52.179,DEMO_ACCOUNT,IS
96,GBPUSD,SELL,2021-11-01 16:15:00+00:00,2021-11-01 23:45:00+00:00,1.36883,1.36577,30.1,30.1,6.52.179,DEMO_ACCOUNT,IS
98,GBPUSD,SELL,2021-11-04 01:15:00+00:00,2021-11-04 11:11:40+00:00,1.36909,1.36447,45.7,45.7,6.52.179,DEMO_ACCOUNT,IS
100,GBPUSD,SELL,2021-11-05 18:45:00+00:00,2021-11-05 23:45:00+00:00,1.34905,1.34936,-3.6,-3.6,6.52.179,DEMO_ACCOUNT,IS
102,GBPUSD,SELL,2021-11-08 11:15:00+00:00,2021-11-08 14:41:40+00:00,1.34989,1.35339,-35.5,-35.5,6.52.179,DEMO_ACCOUNT,IS
104,GBPUSD,SELL,2021-11-09 07:15:00+00:00,2021-11-09 11:27:40+00:00,1.35686,1.35946,-26.5,-26.5,6.52.179,DEMO_ACCOUNT,IS
106,GBPUSD,SELL,2021-11-15 04:00:00+00:00,2021-11-15 10:42:40+00:00,1.34369,1.34054,31.0,31.0,6.52.179,DEMO_ACCOUNT,IS
108,GBPUSD,SELL,2021-11-16 05:15:00+00:00,2021-11-16 09:49:40+00:00,1.34358,1.34622,-26.9,-26.9,6.52.179,DEMO_ACCOUNT,IS
110,GBPUSD,SELL,2021-11-17 08:45:00+00:00,2021-11-17 09:00:40+00:00,1.34392,1.34684,-29.7,-29.7,6.52.179,DEMO_ACCOUNT,IS
112,GBPUSD,SELL,2021-11-18 04:15:00+00:00,2021-11-18 23:45:00+00:00,1.34965,1.35013,-5.3,-5.3,6.52.179,DEMO_ACCOUNT,IS
114,GBPUSD,SELL,2021-11-19 09:15:00+00:00,2021-11-19 10:45:40+00:00,1.35009,1.34746,25.8,25.8,6.52.179,DEMO_ACCOUNT,IS
116,GBPUSD,SELL,2021-11-22 15:45:00+00:00,2021-11-22 16:34:40+00:00,1.34469,1.33952,51.2,51.2,6.52.179,DEMO_ACCOUNT,IS
118,GBPUSD,SELL,2021-11-23 19:00:00+00:00,2021-11-23 23:45:00+00:00,1.33853,1.338,4.8,4.8,6.52.179,DEMO_ACCOUNT,IS
120,GBPUSD,SELL,2021-11-24 08:15:00+00:00,2021-11-24 11:51:40+00:00,1.33824,1.33573,24.6,24.6,6.52.179,DEMO_ACCOUNT,IS
122,GBPUSD,SELL,2021-11-26 10:45:00+00:00,2021-11-26 13:13:40+00:00,1.33113,1.33387,-27.9,-27.9,6.52.179,DEMO_ACCOUNT,IS
124,GBPUSD,SELL,2021-11-29 11:15:00+00:00,2021-11-29 16:19:40+00:00,1.33514,1.3307,43.9,43.9,6.52.179,DEMO_ACCOUNT,IS
126,GBPUSD,SELL,2021-12-01 01:30:00+00:00,2021-12-01 23:45:00+00:00,1.3308,1.32756,31.9,31.9,6.52.179,DEMO_ACCOUNT,IS
128,GBPUSD,SELL,2021-12-07 04:30:00+00:00,2021-12-07 13:54:40+00:00,1.32728,1.32449,27.4,27.4,6.52.179,DEMO_ACCOUNT,IS
130,GBPUSD,SELL,2021-12-08 01:30:00+00:00,2021-12-08 12:25:40+00:00,1.32452,1.32113,33.4,33.4,6.52.179,DEMO_ACCOUNT,IS
132,GBPUSD,SELL,2021-12-09 08:30:00+00:00,2021-12-09 12:44:40+00:00,1.32141,1.31862,27.4,27.4,6.52.179,DEMO_ACCOUNT,IS
134,GBPUSD,SELL,2021-12-10 01:15:00+00:00,2021-12-10 13:00:20+00:00,1.32216,1.31898,31.3,31.3,6.52.179,DEMO_ACCOUNT,IS
136,GBPUSD,SELL,2021-12-13 13:30:00+00:00,2021-12-13 19:57:40+00:00,1.32573,1.32142,42.6,42.6,6.52.179,DEMO_ACCOUNT,IS
138,GBPUSD,SELL,2021-12-15 07:00:00+00:00,2021-12-15 09:00:40+00:00,1.32382,1.32552,-17.5,-17.5,6.52.179,DEMO_ACCOUNT,IS
140,GBPUSD,SELL,2021-12-16 01:15:00+00:00,2021-12-16 14:00:40+00:00,1.32662,1.3307,-41.3,-41.3,6.52.179,DEMO_ACCOUNT,IS
142,GBPUSD,SELL,2021-12-20 15:15:00+00:00,2021-12-20 23:45:00+00:00,1.323,1.32096,19.9,19.9,6.52.179,DEMO_ACCOUNT,IS
144,GBPUSD,SELL,2021-12-21 07:30:00+00:00,2021-12-21 10:10:40+00:00,1.32143,1.32337,-19.9,-19.9,6.52.179,DEMO_ACCOUNT,IS
146,GBPUSD,SELL,2021-12-22 02:15:00+00:00,2021-12-22 12:15:40+00:00,1.32699,1.32958,-26.4,-26.4,6.52.179,DEMO_ACCOUNT,IS
148,GBPUSD,SELL,2021-12-23 09:45:00+00:00,2021-12-23 10:22:40+00:00,1.33641,1.33835,-19.9,-19.9,6.52.179,DEMO_ACCOUNT,IS
150,GBPUSD,SELL,2021-12-28 11:15:00+00:00,2021-12-28 13:20:40+00:00,1.34384,1.34548,-16.9,-16.9,6.52.179,DEMO_ACCOUNT,IS
152,GBPUSD,SELL,2021-12-29 13:45:00+00:00,2021-12-29 15:52:40+00:00,1.34334,1.3458,-25.1,-25.1,6.52.179,DEMO_ACCOUNT,IS
154,GBPUSD,SELL,2021-12-30 01:45:00+00:00,2021-12-30 09:51:40+00:00,1.34935,1.34663,26.7,26.7,6.52.179,DEMO_ACCOUNT,IS
156,GBPUSD,SELL,2021-12-31 09:00:00+00:00,2021-12-31 13:47:40+00:00,1.35046,1.34818,22.3,22.3,6.52.179,DEMO_ACCOUNT,IS
158,GBPUSD,SELL,2022-01-03 11:15:00+00:00,2022-01-03 15:33:40+00:00,1.35271,1.3491,35.6,35.6,6.52.179,DEMO_ACCOUNT,IS
160,GBPUSD,SELL,2022-01-04 10:00:00+00:00,2022-01-04 12:19:40+00:00,1.34878,1.3514,-26.7,-26.7,6.52.179,DEMO_ACCOUNT,IS
162,GBPUSD,SELL,2022-01-05 03:45:00+00:00,2022-01-05 17:22:40+00:00,1.35369,1.35611,-24.7,-24.7,6.52.179,DEMO_ACCOUNT,IS
164,GBPUSD,SELL,2022-01-06 13:45:00+00:00,2022-01-06 23:45:00+00:00,1.35422,1.35367,5.0,5.0,6.52.179,DEMO_ACCOUNT,IS
166,GBPUSD,SELL,2022-01-07 03:15:00+00:00,2022-01-07 16:45:00+00:00,1.35393,1.35661,-27.3,-27.3,6.52.179,DEMO_ACCOUNT,IS
168,GBPUSD,SELL,2022-01-10 11:15:00+00:00,2022-01-10 15:41:40+00:00,1.35954,1.35602,34.7,34.7,6.52.179,DEMO_ACCOUNT,IS
170,GBPUSD,SELL,2022-01-11 02:15:00+00:00,2022-01-11 10:05:40+00:00,1.35827,1.36087,-26.5,-26.5,6.52.179,DEMO_ACCOUNT,IS
172,GBPUSD,SELL,2022-01-12 01:15:00+00:00,2022-01-12 15:35:40+00:00,1.36354,1.36614,-26.5,-26.5,6.52.179,DEMO_ACCOUNT,IS
174,GBPUSD,SELL,2022-01-13 04:15:00+00:00,2022-01-13 10:00:40+00:00,1.37132,1.37348,-22.1,-22.1,6.52.179,DEMO_ACCOUNT,IS
176,GBPUSD,SELL,2022-01-25 10:45:00+00:00,2022-01-25 13:45:40+00:00,1.34914,1.34501,40.8,40.8,6.52.179,DEMO_ACCOUNT,IS
178,GBPUSD,SELL,2022-01-26 04:15:00+00:00,2022-01-26 17:15:40+00:00,1.35194,1.34925,26.4,26.4,6.52.179,DEMO_ACCOUNT,IS
180,GBPUSD,SELL,2022-01-28 15:45:00+00:00,2022-01-28 23:45:00+00:00,1.34177,1.34008,16.4,16.4,6.52.179,DEMO_ACCOUNT,IS
182,GBPUSD,SELL,2022-01-31 03:15:00+00:00,2022-01-31 10:14:40+00:00,1.34066,1.34383,-32.2,-32.2,6.52.179,DEMO_ACCOUNT,IS
184,GBPUSD,SELL,2022-02-01 06:45:00+00:00,2022-02-01 09:31:40+00:00,1.34502,1.34727,-23.0,-23.0,6.52.179,DEMO_ACCOUNT,IS
186,GBPUSD,SELL,2022-02-02 09:15:00+00:00,2022-02-02 12:52:40+00:00,1.35333,1.35525,-19.7,-19.7,6.52.179,DEMO_ACCOUNT,IS
188,GBPUSD,SELL,2022-02-04 02:45:00+00:00,2022-02-04 10:40:40+00:00,1.36079,1.35708,36.6,36.6,6.52.179,DEMO_ACCOUNT,IS
190,GBPUSD,SELL,2022-02-08 03:45:00+00:00,2022-02-08 09:28:40+00:00,1.35383,1.35114,26.4,26.4,6.52.179,DEMO_ACCOUNT,IS
192,GBPUSD,SELL,2022-02-09 04:00:00+00:00,2022-02-09 12:19:40+00:00,1.35555,1.35792,-24.2,-24.2,6.52.179,DEMO_ACCOUNT,IS
194,GBPUSD,SELL,2022-02-15 03:00:00+00:00,2022-02-15 16:51:40+00:00,1.35448,1.35079,36.4,36.4,6.52.179,DEMO_ACCOUNT,IS
196,GBPUSD,SELL,2022-02-16 10:00:00+00:00,2022-02-16 16:47:40+00:00,1.3561,1.35839,-23.4,-23.4,6.52.179,DEMO_ACCOUNT,IS
