position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,US500.cash,BUY,2021-07-07 02:00:00+00:00,2021-07-07 04:00:20+00:00,4340.47,4340.35,-0.01,-0.01,3.32.156,DEMO_ACCOUNT,IS
4,US500.cash,BUY,2021-07-08 05:00:00+00:00,2021-07-09 02:00:00+00:00,4352.87,4318.85,-3.53,-3.53,3.32.156,DEMO_ACCOUNT,IS
6,US500.cash,BUY,2021-07-09 02:00:00+00:00,2021-07-09 03:00:40+00:00,4318.87,4318.5,-0.04,-0.04,3.32.156,DEMO_ACCOUNT,IS
8,US500.cash,BUY,2021-07-20 06:00:00+00:00,2021-07-20 11:00:20+00:00,4280.47,4280.35,-0.01,-0.01,3.32.156,DEMO_ACCOUNT,IS
10,US500.cash,BUY,2021-07-28 02:00:00+00:00,2021-07-28 03:00:20+00:00,4397.77,4400.65,0.29,0.29,3.32.156,DEMO_ACCOUNT,IS
12,US500.cash,BUY,2021-08-16 04:00:00+00:00,2021-08-16 08:00:40+00:00,4458.77,4458.65,-0.01,-0.01,3.32.156,DEMO_ACCOUNT,IS
14,US500.cash,BUY,2021-08-19 02:00:00+00:00,2021-08-19 04:00:40+00:00,4399.47,4401.1,0.16,0.16,3.32.156,DEMO_ACCOUNT,IS
16,US500.cash,BUY,2021-08-20 03:00:00+00:00,2021-08-20 03:00:40+00:00,4400.47,4409.72,0.93,0.93,3.32.156,DEMO_ACCOUNT,IS
18,US500.cash,BUY,2021-08-25 07:00:00+00:00,2021-08-25 09:00:20+00:00,4484.22,4486.6,0.24,0.24,3.32.156,DEMO_ACCOUNT,IS
20,US500.cash,BUY,2021-08-26 05:00:00+00:00,2021-08-26 09:00:40+00:00,4492.52,4492.65,0.01,0.01,3.32.156,DEMO_ACCOUNT,IS
22,US500.cash,BUY,2021-08-27 03:00:00+00:00,2021-08-27 04:00:20+00:00,4471.17,4471.55,0.04,0.04,3.32.156,DEMO_ACCOUNT,IS
24,US500.cash,BUY,2021-09-01 04:00:00+00:00,2021-09-01 06:00:40+00:00,4529.67,4537.3,0.76,0.76,3.32.156,DEMO_ACCOUNT,IS
26,US500.cash,BUY,2021-09-02 02:00:00+00:00,2021-09-02 03:00:40+00:00,4526.72,4526.6,-0.01,-0.01,3.32.156,DEMO_ACCOUNT,IS
28,US500.cash,BUY,2021-09-09 02:00:00+00:00,2021-09-09 15:00:40+00:00,4512.52,4513.8,0.13,0.13,3.32.156,DEMO_ACCOUNT,IS
30,US500.cash,BUY,2021-09-10 02:00:00+00:00,2021-09-10 04:00:20+00:00,4495.25,4497.0,0.18,0.18,3.32.156,DEMO_ACCOUNT,IS
32,US500.cash,BUY,2021-09-13 04:00:00+00:00,2021-09-13 10:00:40+00:00,4472.65,4481.9,0.93,0.93,3.32.156,DEMO_ACCOUNT,IS
34,US500.cash,BUY,2021-09-14 03:00:00+00:00,2021-09-14 05:00:40+00:00,4478.92,4481.8,0.29,0.29,3.32.156,DEMO_ACCOUNT,IS
36,US500.cash,BUY,2021-09-15 01:30:00+00:00,2021-09-15 02:02:00+00:00,4451.02,4450.9,-0.01,-0.01,3.32.156,DEMO_ACCOUNT,IS
38,US500.cash,BUY,2021-09-16 05:00:00+00:00,2021-09-16 05:56:40+00:00,4483.27,4484.65,0.14,0.14,3.32.156,DEMO_ACCOUNT,IS
40,US500.cash,BUY,2021-09-17 01:05:00+00:00,2021-09-17 01:56:00+00:00,4472.65,4473.65,0.1,0.1,3.32.156,DEMO_ACCOUNT,IS
42,US500.cash,BUY,2021-09-20 01:15:00+00:00,2021-09-20 01:45:40+00:00,4420.19,4423.93,0.37,0.37,3.32.156,DEMO_ACCOUNT,IS
44,US500.cash,BUY,2021-09-22 01:30:00+00:00,2021-09-22 04:11:40+00:00,4348.07,4357.32,0.93,0.93,3.32.156,DEMO_ACCOUNT,IS
46,US500.cash,BUY,2021-09-23 01:05:00+00:00,2021-09-23 01:49:59+00:00,4400.47,4401.35,0.09,0.09,3.32.156,DEMO_ACCOUNT,IS
48,US500.cash,BUY,2021-09-24 01:05:00+00:00,2021-09-24 01:22:00+00:00,4452.12,4453.25,0.11,0.11,3.32.156,DEMO_ACCOUNT,IS
50,US500.cash,BUY,2021-09-29 04:30:00+00:00,2021-09-29 04:46:40+00:00,4364.37,4368.5,0.41,0.41,3.32.156,DEMO_ACCOUNT,IS
52,US500.cash,BUY,2021-09-30 01:15:00+00:00,2021-09-30 01:51:00+00:00,4368.07,4369.95,0.19,0.19,3.32.156,DEMO_ACCOUNT,IS
