position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDCHF,SELL,2021-07-09 05:30:00+00:00,2021-07-09 09:22:00+00:00,0.91565,0.91678,-12.83,-12.83,3.1.133,DEMO_ACCOUNT,IS
4,USDCHF,SELL,2021-07-12 06:30:00+00:00,2021-07-12 09:18:20+00:00,0.91456,0.91554,-11.2,-11.2,3.1.133,DEMO_ACCOUNT,IS
6,USDCHF,SELL,2021-07-13 10:00:00+00:00,2021-07-13 10:50:40+00:00,0.91545,0.91625,-9.23,-9.23,3.1.133,DEMO_ACCOUNT,IS
8,USDCHF,SELL,2021-07-27 07:15:00+00:00,2021-07-27 09:45:40+00:00,0.91608,0.91697,-10.21,-10.21,3.1.133,DEMO_ACCOUNT,IS
10,USDCHF,SELL,2021-07-28 09:30:00+00:00,2021-07-28 09:42:40+00:00,0.91532,0.91618,-9.89,-9.89,3.1.133,DEMO_ACCOUNT,IS
12,USDCHF,SELL,2021-07-30 06:15:00+00:00,2021-07-30 08:01:40+00:00,0.90678,0.90759,-9.42,-9.42,3.1.133,DEMO_ACCOUNT,IS
14,USDCHF,SELL,2021-08-04 10:45:00+00:00,2021-08-04 11:16:40+00:00,0.90449,0.90541,-10.66,-10.66,3.1.133,DEMO_ACCOUNT,IS
16,USDCHF,SELL,2021-08-06 05:30:00+00:00,2021-08-06 06:06:40+00:00,0.90771,0.90846,-8.76,-8.76,3.1.133,DEMO_ACCOUNT,IS
18,USDCHF,SELL,2021-08-16 06:15:00+00:00,2021-08-16 06:30:40+00:00,0.91578,0.91669,-10.43,-10.43,3.1.133,DEMO_ACCOUNT,IS
20,USDCHF,SELL,2021-08-17 06:30:00+00:00,2021-08-17 09:46:40+00:00,0.91337,0.91262,7.72,7.72,3.1.133,DEMO_ACCOUNT,IS
22,USDCHF,SELL,2021-08-24 05:15:00+00:00,2021-08-24 09:57:40+00:00,0.91328,0.91413,-9.8,-9.8,3.1.133,DEMO_ACCOUNT,IS
24,USDCHF,SELL,2021-08-25 06:15:00+00:00,2021-08-25 08:45:40+00:00,0.91506,0.91411,9.89,9.89,3.1.133,DEMO_ACCOUNT,IS
26,USDCHF,SELL,2021-09-03 13:30:00+00:00,2021-09-03 15:30:40+00:00,0.91472,0.91366,11.1,11.1,3.1.133,DEMO_ACCOUNT,IS
28,USDCHF,SELL,2021-09-06 05:30:00+00:00,2021-09-06 10:00:00+00:00,0.9146,0.91578,-13.39,-13.39,3.1.133,DEMO_ACCOUNT,IS
30,USDCHF,SELL,2021-09-07 09:30:00+00:00,2021-09-07 09:50:40+00:00,0.91535,0.91462,7.48,7.48,3.1.133,DEMO_ACCOUNT,IS
32,USDCHF,SELL,2021-10-05 06:45:00+00:00,2021-10-05 13:51:40+00:00,0.92611,0.92713,-11.5,-11.5,3.1.133,DEMO_ACCOUNT,IS
34,USDCHF,SELL,2021-10-18 06:30:00+00:00,2021-10-18 09:20:40+00:00,0.92469,0.92601,-14.75,-14.75,3.1.133,DEMO_ACCOUNT,IS
36,USDCHF,SELL,2021-10-20 05:00:00+00:00,2021-10-20 10:33:40+00:00,0.92393,0.92506,-12.72,-12.72,3.1.133,DEMO_ACCOUNT,IS
38,USDCHF,SELL,2021-10-25 10:15:00+00:00,2021-10-25 10:36:40+00:00,0.91783,0.91656,13.36,13.36,3.1.133,DEMO_ACCOUNT,IS
40,USDCHF,SELL,2021-10-26 05:30:00+00:00,2021-10-26 10:46:40+00:00,0.92084,0.92181,-11.02,-11.02,3.1.133,DEMO_ACCOUNT,IS
42,USDCHF,SELL,2021-10-27 13:45:00+00:00,2021-10-27 14:37:40+00:00,0.91999,0.91843,16.49,16.49,3.1.133,DEMO_ACCOUNT,IS
44,USDCHF,SELL,2021-10-29 07:45:00+00:00,2021-10-29 10:02:40+00:00,0.91214,0.91123,9.49,9.49,3.1.133,DEMO_ACCOUNT,IS
46,USDCHF,SELL,2021-11-01 07:00:00+00:00,2021-11-01 11:10:40+00:00,0.91673,0.91558,12.06,12.06,3.1.133,DEMO_ACCOUNT,IS
48,USDCHF,SELL,2021-11-02 11:15:00+00:00,2021-11-02 12:46:40+00:00,0.91128,0.91263,-15.29,-15.29,3.1.133,DEMO_ACCOUNT,IS
50,USDCHF,SELL,2021-11-05 05:45:00+00:00,2021-11-05 12:09:40+00:00,0.91322,0.91432,-12.53,-12.53,3.1.133,DEMO_ACCOUNT,IS
52,USDCHF,SELL,2021-11-08 09:45:00+00:00,2021-11-08 12:36:20+00:00,0.91425,0.91531,-12.08,-12.08,3.1.133,DEMO_ACCOUNT,IS
54,USDCHF,SELL,2021-11-09 13:45:00+00:00,2021-11-09 16:31:20+00:00,0.91418,0.91267,16.04,16.04,3.1.133,DEMO_ACCOUNT,IS
56,USDCHF,SELL,2021-11-10 06:15:00+00:00,2021-11-10 09:11:40+00:00,0.91199,0.91303,-11.89,-11.89,3.1.133,DEMO_ACCOUNT,IS
58,USDCHF,SELL,2021-11-29 09:00:00+00:00,2021-11-29 11:15:40+00:00,0.92635,0.92443,20.27,20.27,3.1.133,DEMO_ACCOUNT,IS
60,USDCHF,SELL,2021-12-03 06:00:00+00:00,2021-12-03 08:58:40+00:00,0.92064,0.92174,-12.43,-12.43,3.1.133,DEMO_ACCOUNT,IS
62,USDCHF,SELL,2021-12-06 07:00:00+00:00,2021-12-06 09:48:40+00:00,0.92061,0.92176,-12.98,-12.98,3.1.133,DEMO_ACCOUNT,IS
64,USDCHF,SELL,2021-12-10 08:00:00+00:00,2021-12-10 09:12:40+00:00,0.92415,0.92501,-9.8,-9.8,3.1.133,DEMO_ACCOUNT,IS
66,USDCHF,SELL,2021-12-13 08:00:00+00:00,2021-12-13 10:03:40+00:00,0.92202,0.92287,-9.71,-9.71,3.1.133,DEMO_ACCOUNT,IS
68,USDCHF,SELL,2021-12-14 06:30:00+00:00,2021-12-14 10:19:40+00:00,0.92355,0.92266,9.15,9.15,3.1.133,DEMO_ACCOUNT,IS
70,USDCHF,SELL,2021-12-21 08:00:00+00:00,2021-12-21 09:22:40+00:00,0.92201,0.92119,8.4,8.4,3.1.133,DEMO_ACCOUNT,IS
72,USDCHF,SELL,2021-12-27 07:16:30+00:00,2021-12-27 10:00:40+00:00,0.91963,0.91861,10.6,10.6,3.1.133,DEMO_ACCOUNT,IS
74,USDCHF,SELL,2021-12-28 09:45:00+00:00,2021-12-28 10:23:40+00:00,0.91787,0.91721,6.7,6.7,3.1.133,DEMO_ACCOUNT,IS
76,USDCHF,SELL,2021-12-29 09:00:00+00:00,2021-12-29 09:53:40+00:00,0.9179,0.91722,6.91,6.91,3.1.133,DEMO_ACCOUNT,IS
78,USDCHF,SELL,2021-12-31 08:00:00+00:00,2021-12-31 10:25:40+00:00,0.91448,0.91366,8.47,8.47,3.1.133,DEMO_ACCOUNT,IS
80,USDCHF,SELL,2022-01-03 05:30:00+00:00,2022-01-03 10:49:40+00:00,0.91456,0.9132,14.39,14.39,3.1.133,DEMO_ACCOUNT,IS
82,USDCHF,SELL,2022-01-04 05:30:00+00:00,2022-01-04 11:25:40+00:00,0.91875,0.91751,13.01,13.01,3.1.133,DEMO_ACCOUNT,IS
84,USDCHF,SELL,2022-01-10 05:15:00+00:00,2022-01-10 08:26:40+00:00,0.91984,0.92088,-11.79,-11.79,3.1.133,DEMO_ACCOUNT,IS
86,USDCHF,SELL,2022-01-18 05:30:00+00:00,2022-01-18 05:39:40+00:00,0.9143,0.9154,-12.52,-12.52,3.1.133,DEMO_ACCOUNT,IS
