position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDCHF,BUY,2021-07-06 16:15:00+00:00,2021-07-06 23:45:00+00:00,0.92439,0.92431,-1.37,-1.37,6.23.134,DEMO_ACCOUNT,IS
4,USDCHF,BUY,2021-07-13 14:45:00+00:00,2021-07-13 15:31:40+00:00,0.91754,0.91904,15.82,15.82,6.23.134,DEMO_ACCOUNT,IS
6,USDCHF,BUY,2021-07-15 19:15:00+00:00,2021-07-15 23:45:00+00:00,0.91928,0.91779,-16.73,-16.73,6.23.134,DEMO_ACCOUNT,IS
8,USDCHF,BUY,2021-07-19 10:30:00+00:00,2021-07-19 15:47:40+00:00,0.92199,0.91947,-27.91,-27.91,6.23.134,DEMO_ACCOUNT,IS
10,USDCHF,BUY,2021-07-20 16:30:00+00:00,2021-07-20 23:45:00+00:00,0.9223,0.92127,-11.68,-11.68,6.23.134,DEMO_ACCOUNT,IS
12,USDCHF,BUY,2021-07-23 13:15:00+00:00,2021-07-23 23:45:00+00:00,0.92158,0.91978,-20.07,-20.07,6.23.134,DEMO_ACCOUNT,IS
14,USDCHF,BUY,2021-07-28 17:00:00+00:00,2021-07-28 19:55:40+00:00,0.9169,0.913,-43.22,-43.22,6.23.134,DEMO_ACCOUNT,IS
16,USDCHF,BUY,2021-08-04 11:30:00+00:00,2021-08-04 15:46:40+00:00,0.90536,0.90261,-30.97,-30.97,6.23.134,DEMO_ACCOUNT,IS
18,USDCHF,BUY,2021-08-05 05:45:00+00:00,2021-08-05 10:56:40+00:00,0.90757,0.90548,-23.58,-23.58,6.23.134,DEMO_ACCOUNT,IS
20,USDCHF,BUY,2021-08-06 05:45:00+00:00,2021-08-06 14:32:20+00:00,0.90777,0.90865,9.18,9.18,6.23.134,DEMO_ACCOUNT,IS
22,USDCHF,BUY,2021-08-10 02:15:00+00:00,2021-08-10 14:30:40+00:00,0.92088,0.92246,16.63,16.63,6.23.134,DEMO_ACCOUNT,IS
24,USDCHF,BUY,2021-08-17 18:00:00+00:00,2021-08-17 23:45:00+00:00,0.91486,0.91499,0.92,0.92,6.23.134,DEMO_ACCOUNT,IS
26,USDCHF,BUY,2021-08-18 01:30:00+00:00,2021-08-18 17:22:40+00:00,0.9153,0.91692,17.17,17.17,6.23.134,DEMO_ACCOUNT,IS
28,USDCHF,BUY,2021-08-25 05:00:00+00:00,2021-08-25 23:45:00+00:00,0.91498,0.91367,-14.84,-14.84,6.23.134,DEMO_ACCOUNT,IS
