position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDJPY,BUY,2021-07-13 08:00:00+00:00,2021-07-13 23:45:00+00:00,110.475,110.64,14.41,14.41,2.5.172,DEMO_ACCOUNT,IS
4,USDJPY,BUY,2021-07-21 10:30:00+00:00,2021-07-21 23:45:00+00:00,110.046,110.286,21.26,21.26,2.5.172,DEMO_ACCOUNT,IS
6,USDJPY,BUY,2021-07-23 05:00:00+00:00,2021-07-23 23:45:00+00:00,110.216,110.551,29.8,29.8,2.5.172,DEMO_ACCOUNT,IS
8,USDJPY,BUY,2021-07-26 12:45:00+00:00,2021-07-26 23:45:00+00:00,110.372,110.382,0.41,0.41,2.5.172,DEMO_ACCOUNT,IS
10,USDJPY,BUY,2021-07-27 14:30:00+00:00,2021-07-27 23:45:00+00:00,110.186,109.775,-37.94,-37.94,2.5.172,DEMO_ACCOUNT,IS
12,USDJPY,BUY,2021-07-28 21:15:00+00:00,2021-07-28 23:45:00+00:00,110.191,109.892,-27.71,-27.71,2.5.172,DEMO_ACCOUNT,IS
14,USDJPY,BUY,2021-08-05 05:30:00+00:00,2021-08-05 23:45:00+00:00,109.74,109.783,3.42,3.42,2.5.172,DEMO_ACCOUNT,IS
16,USDJPY,BUY,2021-08-06 02:00:00+00:00,2021-08-06 23:45:00+00:00,109.783,110.233,40.32,40.32,2.5.172,DEMO_ACCOUNT,IS
18,USDJPY,BUY,2021-08-09 01:30:00+00:00,2021-08-09 23:45:00+00:00,110.269,110.348,6.66,6.66,2.5.172,DEMO_ACCOUNT,IS
20,USDJPY,BUY,2021-08-10 03:15:00+00:00,2021-08-10 23:45:00+00:00,110.436,110.597,14.06,14.06,2.5.172,DEMO_ACCOUNT,IS
22,USDJPY,BUY,2021-08-11 04:15:00+00:00,2021-08-11 23:45:00+00:00,110.73,110.433,-27.39,-27.39,2.5.172,DEMO_ACCOUNT,IS
24,USDJPY,BUY,2021-08-12 05:15:00+00:00,2021-08-12 23:45:00+00:00,110.46,110.437,-2.58,-2.58,2.5.172,DEMO_ACCOUNT,IS
26,USDJPY,BUY,2021-08-19 03:00:00+00:00,2021-08-19 23:45:00+00:00,109.891,109.766,-11.89,-11.89,2.5.172,DEMO_ACCOUNT,IS
28,USDJPY,BUY,2021-08-23 02:00:00+00:00,2021-08-23 23:45:00+00:00,109.891,109.699,-18.0,-18.0,2.5.172,DEMO_ACCOUNT,IS
30,USDJPY,BUY,2021-08-25 10:00:00+00:00,2021-08-25 23:45:00+00:00,109.826,109.991,14.5,14.5,2.5.172,DEMO_ACCOUNT,IS
32,USDJPY,BUY,2021-08-26 20:00:00+00:00,2021-08-26 23:45:00+00:00,110.188,110.074,-10.86,-10.86,2.5.172,DEMO_ACCOUNT,IS
34,USDJPY,BUY,2021-08-27 10:30:00+00:00,2021-08-27 23:45:00+00:00,110.098,109.846,-23.44,-23.44,2.5.172,DEMO_ACCOUNT,IS
36,USDJPY,BUY,2021-08-31 12:30:00+00:00,2021-08-31 23:45:00+00:00,109.973,110.001,2.05,2.05,2.5.172,DEMO_ACCOUNT,IS
38,USDJPY,BUY,2021-09-01 10:15:00+00:00,2021-09-01 23:45:00+00:00,110.338,110.063,-25.49,-25.49,2.5.172,DEMO_ACCOUNT,IS
40,USDJPY,BUY,2021-09-02 17:30:00+00:00,2021-09-02 23:45:00+00:00,110.116,109.933,-17.15,-17.15,2.5.172,DEMO_ACCOUNT,IS
42,USDJPY,BUY,2021-09-03 02:00:00+00:00,2021-09-03 23:45:30+00:00,110.009,109.731,-25.83,-25.83,2.5.172,DEMO_ACCOUNT,IS
44,USDJPY,BUY,2021-09-07 16:00:00+00:00,2021-09-07 23:45:00+00:00,110.137,110.292,13.55,13.55,2.5.172,DEMO_ACCOUNT,IS
46,USDJPY,BUY,2021-09-08 08:30:00+00:00,2021-09-08 23:45:00+00:00,110.413,110.254,-14.92,-14.92,2.5.172,DEMO_ACCOUNT,IS
48,USDJPY,BUY,2021-09-09 01:00:00+00:00,2021-09-09 23:45:00+00:00,110.322,109.731,-54.36,-54.36,2.5.172,DEMO_ACCOUNT,IS
50,USDJPY,BUY,2021-09-14 04:00:00+00:00,2021-09-14 23:45:00+00:00,110.086,109.681,-37.43,-37.43,2.5.172,DEMO_ACCOUNT,IS
52,USDJPY,BUY,2021-09-17 05:00:00+00:00,2021-09-17 23:45:00+00:00,109.942,109.97,2.05,2.05,2.5.172,DEMO_ACCOUNT,IS
54,USDJPY,BUY,2021-09-23 05:15:00+00:00,2021-09-23 23:45:00+00:00,109.955,110.33,33.49,33.49,2.5.172,DEMO_ACCOUNT,IS
56,USDJPY,BUY,2021-09-24 08:45:00+00:00,2021-09-24 23:45:00+00:00,110.511,110.763,22.25,22.25,2.5.172,DEMO_ACCOUNT,IS
58,USDJPY,BUY,2021-09-27 02:00:00+00:00,2021-09-27 23:45:00+00:00,110.84,111.013,15.08,15.08,2.5.172,DEMO_ACCOUNT,IS
60,USDJPY,BUY,2021-09-28 04:15:00+00:00,2021-09-28 23:45:00+00:00,111.099,111.516,36.89,36.89,2.5.172,DEMO_ACCOUNT,IS
62,USDJPY,BUY,2021-09-29 14:30:00+00:00,2021-09-29 23:45:00+00:00,111.491,111.989,43.97,43.97,2.5.172,DEMO_ACCOUNT,IS
64,USDJPY,BUY,2021-10-01 01:15:00+00:00,2021-10-01 23:45:00+00:00,111.334,111.056,-25.53,-25.53,2.5.172,DEMO_ACCOUNT,IS
66,USDJPY,BUY,2021-10-06 03:30:00+00:00,2021-10-06 23:45:30+00:00,111.583,111.418,-15.31,-15.31,2.5.172,DEMO_ACCOUNT,IS
68,USDJPY,BUY,2021-10-07 12:00:00+00:00,2021-10-07 23:45:00+00:00,111.416,111.641,19.65,19.65,2.5.172,DEMO_ACCOUNT,IS
