position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
2,USDCAD,BUY,2021-07-02 13:45:00+00:00,2021-07-02 15:33:40+00:00,1.24154,1.23854,-74.17,-74.17,3.2.189,LIVE_ACCOUNT,IS
4,USDCAD,BUY,2021-07-05 19:00:00+00:00,2021-07-05 23:45:00+00:00,1.23306,1.23414,24.75,24.75,3.2.189,LIVE_ACCOUNT,IS
6,USDCAD,BUY,2021-07-06 06:45:00+00:00,2021-07-06 12:33:40+00:00,1.23223,1.23623,95.57,95.57,3.2.189,LIVE_ACCOUNT,IS
8,USDCAD,BUY,2021-07-07 10:45:00+00:00,2021-07-07 17:20:40+00:00,1.24462,1.24862,94.61,94.61,3.2.189,LIVE_ACCOUNT,IS
10,USDCAD,BUY,2021-07-09 13:00:00+00:00,2021-07-09 15:31:40+00:00,1.25096,1.24796,-73.62,-73.62,3.2.189,LIVE_ACCOUNT,IS
12,USDCAD,BUY,2021-07-12 17:30:00+00:00,2021-07-12 23:45:00+00:00,1.24661,1.24516,-36.44,-36.44,3.2.189,LIVE_ACCOUNT,IS
14,USDCAD,BUY,2021-07-13 03:15:00+00:00,2021-07-13 14:10:40+00:00,1.24482,1.24882,94.59,94.59,3.2.189,LIVE_ACCOUNT,IS
16,USDCAD,BUY,2021-07-14 05:15:00+00:00,2021-07-14 15:13:20+00:00,1.25009,1.24709,-73.67,-73.67,3.2.189,LIVE_ACCOUNT,IS
18,USDCAD,BUY,2021-07-15 11:30:00+00:00,2021-07-15 15:55:40+00:00,1.25112,1.25512,94.11,94.11,3.2.189,LIVE_ACCOUNT,IS
20,USDCAD,BUY,2021-07-16 07:15:00+00:00,2021-07-16 17:21:40+00:00,1.25695,1.26095,93.67,93.67,3.2.189,LIVE_ACCOUNT,IS
22,USDCAD,BUY,2021-07-20 19:00:00+00:00,2021-07-20 21:50:40+00:00,1.27243,1.26943,-72.4,-72.4,3.2.189,LIVE_ACCOUNT,IS
24,USDCAD,BUY,2021-07-21 02:00:00+00:00,2021-07-21 09:06:40+00:00,1.2679,1.2719,92.85,92.85,3.2.189,LIVE_ACCOUNT,IS
26,USDCAD,BUY,2021-07-22 11:45:00+00:00,2021-07-22 16:26:40+00:00,1.25611,1.25311,-73.32,-73.32,3.2.189,LIVE_ACCOUNT,IS
28,USDCAD,BUY,2021-07-26 12:30:00+00:00,2021-07-26 23:45:00+00:00,1.2553,1.25441,-22.78,-22.78,3.2.189,LIVE_ACCOUNT,IS
