date,symbol,timeframe,bars,open,high,low,close,net_move,daily_range,path_length,trend_efficiency,path_efficiency,noise_ratio,up_run_count,down_run_count,total_run_count,avg_up_run_length,max_up_run_length,avg_down_run_length,max_down_run_length,pullback_count,pullback_ratio,avg_body_size,avg_upper_wick,avg_lower_wick,max_upper_wick,max_lower_wick,wick_ratio,new_high_count,new_low_count,high_break_acceptance,low_break_acceptance,failed_high_breakouts,failed_low_breakouts,false_breakout_ratio,direction_changes,largest_candle,largest_candle_pct_of_day,top_3_candles_share,atr_spike_count
2022-01-07,XAUUSD,M15,11,1795.99,1797.78,1794.33,1796.04,0.049999999999954525,3.4500000000000455,6.099999999999909,0.008196721311468078,0.014492753623175033,0.9918032786885319,3,3,6,1.3333333333333333,2.0,2.0,4.0,5,0.45454545454545453,0.5909090909090495,0.23454545454550993,0.279090909090924,0.7000000000000455,0.5699999999999363,0.5121105511330956,1,3,1.0,0.6666666666666666,0,1,0.25,5,1.849999999999909,0.5362318840579375,1.3652173913043404,0
2022-01-10,XAUUSD,M15,92,1795.17,1802.31,1790.35,1801.68,6.509999999999991,11.960000000000036,73.01000000000067,0.08916586768935668,0.5443143812709006,0.9108341323106434,23,24,47,2.0869565217391304,6.0,1.7916666666666667,5.0,46,0.5,0.7998913043478153,0.4672826086956622,0.4185869565217563,2.269999999999982,1.900000000000091,0.563400616345764,9,8,0.4444444444444444,0.25,2,0,0.11764705882352941,46,4.509999999999991,0.37709030100334257,1.0710702341137046,11
2022-01-11,XAUUSD,M15,92,1800.57,1823.23,1800.05,1822.32,21.75,23.180000000000064,76.17999999999961,0.2855080073510122,0.9383088869715246,0.7144919926489878,23,22,45,2.217391304347826,7.0,1.8181818181818181,5.0,44,0.4782608695652174,0.8354347826086896,0.4128260869565145,0.3740217391304381,2.4099999999998545,1.6000000000001364,0.5121398052502564,32,0,0.6875,0.0,9,0,0.28125,44,5.740000000000009,0.24762726488352,0.5992234685073268,11
2022-01-12,XAUUSD,M15,92,1820.23,1828.06,1814.74,1825.87,5.639999999999873,13.319999999999936,71.67000000000166,0.07869401423189258,0.4234234234234159,0.9213059857681074,25,24,49,1.8,4.0,1.9166666666666667,5.0,48,0.5217391304347826,0.7827173913043626,0.3445652173913073,0.3692391304347656,1.6299999999998818,1.849999999999909,0.49859055356648513,12,8,0.4166666666666667,0.5,4,4,0.4,48,8.100000000000136,0.6081081081081212,1.1051051051051295,14
2022-01-13,XAUUSD,M15,92,1825.91,1828.16,1812.42,1822.5,3.410000000000082,15.740000000000009,67.16000000000099,0.05077427039904752,0.2166454891994968,0.9492257296009525,24,24,48,2.0,6.0,1.7916666666666667,6.0,47,0.5108695652173914,0.729239130434794,0.3938043478260921,0.38380434782606904,1.990000000000009,2.240000000000009,0.5284197341574537,5,17,0.6,0.5882352941176471,2,4,0.2727272727272727,47,4.940000000000055,0.3138500635324048,0.7458703939008896,13
2022-01-14,XAUUSD,M15,92,1821.5,1829.13,1814.7,1817.45,4.0499999999999545,14.430000000000064,78.66999999999939,0.05148086945468394,0.2806652806652763,0.948519130545316,25,25,50,1.84,5.0,1.8,5.0,49,0.532608695652174,0.8470652173913026,0.4805434782608774,0.38032608695652675,2.849999999999909,2.8599999999999,0.5364447420288186,14,13,0.5,0.3076923076923077,3,4,0.25925925925925924,49,5.1400000000001,0.35620235620236157,0.9313929313929311,8
2022-01-17,XAUUSD,M15,82,1817.36,1823.18,1813.12,1819.21,1.8500000000001364,10.060000000000173,41.59000000000151,0.04448184659774151,0.18389662027834042,0.9555181534022585,24,23,47,1.8333333333333333,8.0,1.608695652173913,4.0,46,0.5609756097560976,0.5093902439024582,0.22512195121951542,0.2998780487804674,0.9700000000000273,1.5599999999999454,0.5144126058428466,12,9,0.5,0.4444444444444444,1,3,0.19047619047619047,46,3.0100000000002183,0.2992047713717859,0.7425447316103505,3
2022-01-18,XAUUSD,M15,92,1818.46,1822.76,1805.75,1813.67,4.789999999999964,17.00999999999999,107.84000000000128,0.044417655786349285,0.28159905937683516,0.9555823442136507,28,27,55,1.75,6.0,1.5555555555555556,4.0,54,0.5869565217391305,1.1743478260869586,0.3576086956521749,0.4983695652173928,1.75,3.849999999999909,0.524197170513216,10,9,0.4,0.7777777777777778,2,1,0.15789473684210525,54,12.720000000000027,0.7477954144620831,1.5737801293356846,16
2022-01-19,XAUUSD,M15,92,1814.15,1843.31,1810.23,1840.26,26.1099999999999,33.07999999999993,77.39999999999941,0.33733850129199094,0.7892986698911716,0.6626614987080091,26,26,52,2.0,5.0,1.4230769230769231,4.0,49,0.532608695652174,0.8427173913043401,0.35086956521740087,0.37891304347825977,1.5399999999999636,2.1399999999998727,0.5226668516147787,31,11,0.45161290322580644,0.45454545454545453,8,3,0.2619047619047619,49,10.840000000000146,0.32769044740024694,0.6260580411124571,6
2022-01-20,XAUUSD,M15,92,1840.29,1847.89,1835.92,1838.7,1.5899999999999181,11.970000000000027,79.45000000000027,0.020012586532409223,0.1328320802004941,0.9799874134675908,27,26,53,1.4814814814814814,4.0,1.9230769230769231,5.0,52,0.5652173913043478,0.8715217391304281,0.39586956521740446,0.42695652173913506,3.740000000000009,2.099999999999909,0.5191453537060702,9,8,0.2222222222222222,0.125,4,2,0.35294117647058826,52,6.509999999999991,0.543859649122805,1.3692564745196187,9
